dataset,kir,method,method_label,n_seeds,oos_f1_mean,oos_f1_std,known_recall_mean,known_recall_std,f1_all_mean,f1_all_std,accuracy_mean,accuracy_std,false_accept_mean,false_accept_std,auroc_mean,auroc_std
banking77,0.5,random_partition,Random partition,5,0.7162208519261768,0.026683360105673216,0.8596052631578948,0.00729047114589217,0.7472005675171391,0.01685606972589213,0.7205194805194806,0.020091081186982777,0.365,0.04076086432457639,0.8556884278002699,0.011879021386491597
banking77,0.5,single_centroid,Single centroid,5,0.7242801509490058,0.027673309741623107,0.8501315789473685,0.01050985555142944,0.7451394438761987,0.01657860767276433,0.7238961038961038,0.021163253189092266,0.34846153846153843,0.04361471758183914,0.85260754048583,0.010261543173566479
banking77,0.75,fixed_k2,Fixed K=2,5,0.5931096142882415,0.025728699487870366,0.8313793103448276,0.0037502477127855658,0.802629197197889,0.007806121199534476,0.745,0.010253265259106704,0.3607894736842105,0.040205927678622376,0.8322200544464609,0.015458994332941461
banking77,0.75,mogb_minilm,MOGB-MiniLM,5,0.4763444315858617,0.0041037737354307265,0.2876724137931034,0.012201397797159093,0.42392825044969384,0.016952957950860666,0.4599350649350649,0.009159067315142913,0.00763157894736838,0.003767847648230625,0.7977400181488203,0.020251212273134873
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.5313316683894659,0.005918725520325323,0.45862068965517244,0.024356308956183872,0.5860713489392462,0.023848313965377746,0.5781818181818181,0.014288296696932715,0.040526315789473646,0.019302232443044447,0.8104557622504537,0.017405568283162302
banking77,0.75,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.5507101160126237,0.004786773839330919,0.535603448275862,0.005566856652056194,0.6567440305693095,0.005721883039152488,0.6157142857142858,0.004996203652382188,0.08131578947368416,0.011635626826018005,0.8209998865698729,0.013594799759587446
banking77,0.75,random_partition,Random partition,5,0.5337882516266328,0.04240542158941037,0.8727586206896552,0.005121879578452791,0.7889339625187208,0.007869675694657068,0.7253246753246753,0.01205022309084132,0.493157894736842,0.05563315986400823,0.8201661751361161,0.016038769933155304
banking77,0.75,single_centroid,Single centroid,5,0.5366071713978288,0.04167218970527395,0.8641379310344828,0.005211775517307497,0.7821185401081376,0.008950034871067915,0.7202597402597403,0.014093676788455141,0.48,0.054517208648106365,0.817510775862069,0.016750193763312073
clinc150,0.25,fixed_k2,Fixed K=2,5,0.9447183904938934,0.00798118696952838,0.7435087719298246,0.006523155243009901,0.7801346791980823,0.019606457333605467,0.9096491228070175,0.012533120172643644,0.04728070175438592,0.014850555949313596,0.9344876500461681,0.009191535369763628
clinc150,0.25,mogb_minilm,MOGB-MiniLM,5,0.9238361040438375,0.0029534277865939165,0.37105263157894736,0.026693200095970083,0.5224035964713533,0.032761230904904334,0.8688771929824561,0.005504132586605538,0.006578947368420999,0.0021764729431227024,0.9060657894736842,0.014568116456954692
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9413139384002536,0.004982739043635983,0.6017543859649124,0.04404784186583784,0.7016229766010627,0.03478368488471803,0.9017192982456141,0.008586997980566419,0.02236842105263154,0.006138392544858933,0.9274617189904586,0.01722009706747917
clinc150,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9263775447547195,0.003487826147523177,0.4189473684210526,0.013195851685011811,0.5666949810733997,0.018075093608092025,0.8740350877192983,0.005817317414592682,0.01179824561403504,0.005792546366957996,0.9017829332102185,0.013189108546256639
clinc150,0.25,random_partition,Random partition,5,0.9423997495237098,0.009448493371717824,0.7884210526315789,0.015769968459118745,0.7878036270153732,0.02544766217689709,0.9067017543859649,0.014485853469991955,0.06171052631578942,0.015022810193180875,0.9437183748845799,0.011801956644192526
clinc150,0.25,single_centroid,Single centroid,5,0.9420722511346671,0.007409448841719788,0.7794736842105263,0.010555515057186928,0.7843899282129962,0.01877813960270395,0.9060350877192983,0.011382301467787691,0.06035087719298242,0.013202956464477715,0.9434849953831949,0.010672880461408171
clinc150,0.5,fixed_k2,Fixed K=2,5,0.892005798496586,0.00264522648221667,0.7513777777777777,0.01311901833123612,0.8009431390043901,0.009986593104864919,0.856561403508772,0.004453169336970744,0.06440579710144924,0.005931060927178789,0.924975458937198,0.0027687500462942605
clinc150,0.5,mogb_minilm,MOGB-MiniLM,5,0.8131951016346013,0.0029937394053626406,0.3157333333333333,0.013693649965685421,0.44953800389890197,0.017795263450771055,0.7237894736842105,0.005768969538955549,0.00904347826086952,0.0015255301295003965,0.8764096876006441,0.007663174447065316
