dataset,kir,method,scope,protocol,n,source,oos_f1,oos_f1_std,known_recall,known_recall_std,auroc,auroc_std,aupr_oos,aupr_oos_std,distance,k_gate,f1_all,f1_all_std,f1_k,f1_k_std,accuracy,accuracy_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std
clinc150,0.25,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.93800237461473,0.0026166935702324,0.7769005847953215,0.0218829909263949,0.9404360480712484,0.0021554737717785,0.9801997482118664,0.0009723247333862,euclidean,1.0,,,,,,,,,,
clinc150,0.25,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9459447804788962,0.0017432805555462,0.7505847953216375,0.011909597575682,0.934572938462364,0.0031898448102909,0.9758852292485,0.0005458793425143,euclidean,2.0,,,,,,,,,,
clinc150,0.25,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9465736259989076,0.0016481480952159,0.7368421052631579,0.0206280280987804,0.9253465851172272,0.0068926491406182,0.9691740794622126,0.0036083710108469,euclidean,3.0,,,,,,,,,,
clinc150,0.25,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9439010212370824,0.0017970408324759,0.6874269005847954,0.0214389506196764,0.9224128842749076,0.005068280309525,0.9696416123175712,0.0032765273982529,euclidean,4.0,,,,,,,,,,
clinc150,0.25,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9425556875953,0.0016691399500522,0.6555555555555556,0.0142616940330493,0.9124910805300712,0.0111702440914107,0.9642167759472918,0.0064025680432486,euclidean,5.0,,,,,,,,,,
clinc150,0.25,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9429344084653136,0.0035280052650678,0.736842105263158,0.0205158167781166,0.9328020548312678,0.0119766862749872,0.9728888143068762,0.0080848432125545,mahalanobis_diag,1.0,,,,,,,,,,
clinc150,0.25,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9483452008433372,0.00136556034546,0.7137426900584796,0.0127821596458447,0.932267490208702,0.0153880371948938,0.974498171966404,0.0087063189032224,mahalanobis_diag,2.0,,,,,,,,,,
clinc150,0.25,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.94608473385424,0.0008144188054653,0.6722222222222222,0.0278822289806815,0.923103573153066,0.0195100411842075,0.9686723813338464,0.0122848442436313,mahalanobis_diag,3.0,,,,,,,,,,
clinc150,0.25,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9404775118555287,0.000816518423804,0.6008771929824562,0.0236842105263158,0.92011353881646,0.0183620602620882,0.968011909722666,0.0113390781829179,mahalanobis_diag,4.0,,,,,,,,,,
clinc150,0.25,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.9379656264902356,0.0007537142362739,0.5596491228070176,0.0153696626911712,0.9091590884704114,0.027516141354959,0.9631969170164696,0.0151799934889682,mahalanobis_diag,5.0,,,,,,,,,,
clinc150,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8769778728577329,0.0132661733604907,0.7728888888888888,0.0100468040492954,0.913781698005698,0.0114028459429865,0.9240817567965222,0.0107068888330361,euclidean,1.0,,,,,,,,,,
clinc150,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8841536043561952,0.0127361005731982,0.7451851851851852,0.0137155104293441,0.9136690142450142,0.0117960202962366,0.9204202617314964,0.0099905638687869,euclidean,2.0,,,,,,,,,,
clinc150,0.5,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8817818313496207,0.0069144510197652,0.7256296296296295,0.0113688622476739,0.907469173789174,0.0073936069302712,0.9115944664374644,0.0092337533762679,euclidean,3.0,,,,,,,,,,
clinc150,0.5,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8744909146359361,0.0057602758609265,0.6794074074074073,0.0102736227837545,0.8989587236467237,0.0090503274272069,0.9053563627598464,0.0103714125415049,euclidean,4.0,,,,,,,,,,
clinc150,0.5,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8707961063952561,0.0036765966329341,0.6512592592592593,0.0108350900759861,0.8944532421652421,0.0069020170958233,0.8977269628475625,0.0090709068756421,euclidean,5.0,,,,,,,,,,
clinc150,0.5,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.8802432322955465,0.0100288358640587,0.7367407407407408,0.0089919946106627,0.90449403988604,0.0058782042297553,0.9046398779868292,0.0017356988585404,mahalanobis_diag,1.0,,,,,,,,,,
clinc150,0.5,fixed_k2,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.880683748388044,0.0105941045724171,0.7000000000000001,0.0132739417982827,0.9043441595441596,0.0099880210366812,0.9082832717749706,0.0056187765120454,mahalanobis_diag,2.0,,,,,,,,,,
clinc150,0.5,fixed_k3,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.873329343913469,0.0060876290120139,0.6537777777777779,0.0145313624215749,0.8912243418803419,0.0072564670146069,0.8948906013791337,0.0082443754405361,mahalanobis_diag,3.0,,,,,,,,,,
clinc150,0.5,fixed_k4,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.861200481600246,0.0061155702883388,0.5964444444444444,0.0173219335732489,0.8726117378917378,0.0123986560358555,0.8734037331264869,0.015163886741677,mahalanobis_diag,4.0,,,,,,,,,,
clinc150,0.5,fixed_k5,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.853887843339221,0.004550476407804,0.554962962962963,0.0112991496092849,0.8673845242165242,0.0058398280547263,0.8631548046065888,0.0058148875179886,mahalanobis_diag,5.0,,,,,,,,,,
clinc150,0.75,fixed_k1,gate_only_frozen_minilm,protocol_v2_textoir_v1,3,results/gate_only/kir_k_fixed_mean_std.csv,0.7894087980592767,0.0147293032078858,0.7814484126984128,0.0049114657914629,0.9057698227265986,0.0152791275437534,0.8414215901456208,0.0192722372577916,euclidean,1.0,,,,,,,,,,
