dataset,kir,seed,variant,selection,checkpoint,gate_config,threshold,known_f1,oos_f1,overall_accuracy,f1_all,known_recall,false_accept_rate
stackoverflow,0.75,13,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir75_seed13/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,83.66358076705254,74.79806138933765,80.95158597662771,83.10948580594535,81.60765976397238,7.338225483655771
stackoverflow,0.75,13,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9809211545012517,80.60752731911064,60.31073446327684,75.45909849749583,79.33897776562101,89.33422400356268,43.028685790527014
stackoverflow,0.75,13,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.5523101091384888,81.10237891038058,52.57142857142857,74.07345575959933,79.31919451419608,90.29169450011133,53.96931287525016
stackoverflow,0.75,13,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9809211545012517}",0.9809211545012517,83.98153748337437,60.31073446327684,77.17863105175292,82.50211229461827,89.33422400356268,43.028685790527014
stackoverflow,0.75,13,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.27138131856918335,73.33936689937855,10.887690044139283,61.469115191986646,69.43613709592607,90.44756179024716,92.59506337558372
stackoverflow,0.75,42,Ours,locked Known-only Gate config,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir75_seed42/trainable_k1/checkpoint.pt,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9,85.19872586498569,78.65591397849462,83.2220367278798,84.78980012208,83.12179915386328,2.401601067378252
stackoverflow,0.75,42,Frozen MiniLM,Known validation 90% coverage quantile,pretrained all-MiniLM-L6-v2,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9}",0.9797008936385592,80.85904027623322,68.81510416666666,77.69616026711186,80.10629426938532,88.51035404141616,29.486324216144094
stackoverflow,0.75,42,Without Gate,Known validation 90% coverage quantile,fixed Router/Expert,intent confidence rejection,0.40270596742630005,81.52416646182743,59.54088952654233,76.14357262103506,80.15021165337211,89.77955911823648,44.62975316877918
stackoverflow,0.75,42,Cascade-MiniLM,Known validation 90% coverage quantile for frozen MiniLM Gate,Known-only MiniLM logistic heads,"{'k': 1, 'distance': 'euclidean', 'boundary': 'mean_std_1.5', 'rule': 'normalized_union', 'fusion_weight': 0.0, 'threshold': 0.9797008936385592}",0.9797008936385592,83.64034908539628,68.81510416666666,79.449081803005,82.71377127797568,88.51035404141616,29.486324216144094
stackoverflow,0.75,42,Cascade-SmolLM,Known validation 90% coverage quantile,pretrained/fixed SmolLM prototype Gate,SmolLM prototype cosine support,0.2759537100791931,72.88736602487499,16.7710843373494,62.587646076794655,69.38009841940465,91.04876419505678,88.39226150767178
