dataset,kir,variant,seed_count,known_f1_mean,known_f1_std,oos_f1_mean,oos_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std
stackoverflow,0.75,Cascade-SmolLM,3,73.92780992361303,1.166484934467963,14.926589706949281,2.8595037083433072,62.799109627156376,1.181763477727628,90.75324524460054,0.2455450681535826,89.67669235142141,2.068527055677762
banking77_oos,0.25,Ours,3,53.64151131239334,3.7892502234803476,89.06809982568119,2.162145703518562,81.65849673202615,3.1692818207917357,88.19444444444444,1.4665772279127007,18.37037037037037,3.674257947907858
banking77_oos,0.25,Frozen MiniLM,3,42.49781492921693,5.168068857343327,80.98095553791005,5.003387577903521,70.73529411764706,6.360880468394703,87.56944444444446,2.057712831948481,30.546296296296294,6.95108324644726
banking77_oos,0.25,Without Gate,3,37.507660682373114,2.611292016044248,73.64280054916533,3.030414715666593,62.04248366013072,3.295047170183074,90.83333333333333,1.640418307085794,40.90740740740741,3.90290683412119
banking77_oos,0.25,Cascade-MiniLM,3,45.2734972046193,6.584041281131357,80.98095553791005,5.003387577903521,71.07843137254902,6.426649439388181,87.56944444444446,2.057712831948481,30.546296296296294,6.95108324644726
banking77_oos,0.25,Cascade-SmolLM,3,23.52138532393657,0.5952290643946316,40.736516298748825,1.9061336182620812,32.3937908496732,1.2836420768667747,91.45833333333333,0.6133167268283201,74.1111111111111,1.5537357079650866
banking77_oos,0.5,Ours,3,61.85942428692098,4.263378471200097,83.54593679379381,3.8517691691144837,75.68627450980392,4.678398774875622,90.39999999999999,0.29439202887759586,25.82251082251082,5.97128050345954
banking77_oos,0.5,Frozen MiniLM,3,51.42657776841585,1.3757913386093885,70.48371033508731,2.209165882582849,61.79738562091504,2.224623846420592,89.13333333333333,1.5107025591499557,43.61471861471861,2.7046751569972494
banking77_oos,0.5,Without Gate,3,55.44554867650401,2.7063954853241334,74.33693961601489,4.21466057640985,66.04575163398692,4.365238204692512,88.83333333333333,1.247219128924647,38.495670995671,5.826954804832292
banking77_oos,0.5,Cascade-MiniLM,3,55.259915971304075,0.9045203907995567,70.48371033508731,2.209165882582849,62.63071895424836,2.1520606574310155,89.13333333333333,1.5107025591499557,43.61471861471861,2.7046751569972494
banking77_oos,0.5,Cascade-SmolLM,3,40.24449854580544,1.5880813271424565,43.524975796823355,0.7905822470027978,40.433006535947705,0.8149484208848036,90.7,0.5715476066494105,71.34199134199135,0.6139330997265275
