dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d,bootstrap_seed,bootstrap_samples
banking77,0.25,random_partition,false_accept_rate,5,-0.11982758620689653,-0.11293103448275861,0.021402500631788262,-0.13810344827586202,-0.10413793103448277,0,0,5,-5.598765689506464,20260806,10000
banking77,0.25,random_partition,auroc,5,0.02861218239564429,0.030138384754990977,0.007761782594217384,0.022035390199637052,0.03404945553539025,5,0,0,3.6862901077596133,20260806,10000
banking77,0.25,random_partition,aupr_oos,5,0.01316832085075259,0.01270131293651422,0.002878607498220462,0.010998962338499285,0.015621406609590794,5,0,0,4.574545456055808,20260806,10000
banking77,0.25,mogb_minilm,oos_f1,5,0.013546323975643171,0.017914197540567,0.01714990125207738,-0.001326853197500677,0.025287528778249514,4,0,1,0.7898776661470454,20260806,10000
banking77,0.25,mogb_minilm,f1_all,5,0.22634433973076148,0.24443921648790823,0.03133658633913606,0.20274250545732678,0.24994617400419622,5,0,0,7.223005635686664,20260806,10000
banking77,0.25,mogb_minilm,known_recall,5,0.41868421052631577,0.42499999999999993,0.025093316146644635,0.3989473684210527,0.4376315789473685,5,0,0,16.685088892976,20260806,10000
banking77,0.25,mogb_minilm,false_accept_rate,5,0.08827586206896558,0.0883620689655173,0.03126322550102123,0.06655172413793112,0.1147413793103449,5,0,0,2.823632579628804,20260806,10000
banking77,0.25,mogb_minilm,auroc,5,0.05393330308529942,0.05168216878402876,0.031330623974379544,0.029834278584392027,0.07830455989110705,5,0,0,1.7214244800679075,20260806,10000
banking77,0.25,mogb_minilm,aupr_oos,5,0.030821049912699537,0.02609565369603739,0.017584358078459632,0.018963358133048214,0.04605013355037006,5,0,0,1.7527537698663278,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,oos_f1,5,-0.004021600184011764,-0.0013506360732762346,0.014905978627360665,-0.01718786494075535,0.005937509444496514,2,0,3,-0.2697977962097649,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,f1_all,5,0.07360488878673092,0.07029449507271113,0.024655724368983157,0.05420872358040496,0.09300105399305689,5,0,0,2.985306279596705,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,known_recall,5,0.201578947368421,0.20394736842105265,0.03749884578094433,0.17342105263157892,0.22999999999999998,5,0,0,5.3756040531481295,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,false_accept_rate,5,0.06310344827586212,0.05732758620689664,0.030300835077946748,0.04146551724137936,0.08844827586206902,5,0,0,2.08256465914332,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,auroc,5,0.03132815335753172,0.03446290834845733,0.017528792181288704,0.017068511796733167,0.04445905172413789,5,0,0,1.7872397044545538,20260806,10000
banking77,0.25,mogb_partition_ours_boundary,aupr_oos,5,0.016581515169749195,0.019628487634596348,0.009288740851711746,0.008644335799070646,0.023397510567779965,5,0,0,1.7851197955095843,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,oos_f1,5,0.009765053440882654,0.01465477249739533,0.014693171793278824,-0.0028888646621515247,0.020350308444260536,4,0,1,0.6645980580822947,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,f1_all,5,0.13019498072728805,0.12771027881846875,0.02673102014491361,0.10952126038166754,0.15086870107290856,5,0,0,4.870557877008731,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,known_recall,5,0.2797368421052632,0.28552631578947363,0.01722126656668042,0.26421052631578945,0.2905263157894737,5,0,0,16.24368573717429,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,false_accept_rate,5,0.058189655172413826,0.054741379310344895,0.025009287810997708,0.039396551724137925,0.07853448275862074,5,0,0,2.3267218008033486,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,auroc,5,0.04544441923774949,0.050014745916515335,0.017628249312070444,0.031116833030852865,0.058813294010889264,5,0,0,2.5779315026270195,20260806,10000
banking77,0.25,ours_partition_mogb_boundary,aupr_oos,5,0.020229828702653663,0.023240074411542078,0.00653946565964394,0.015039040640620649,0.025205395818295152,5,0,0,3.0934987284198288,20260806,10000
banking77,0.5,single_centroid,oos_f1,5,0.11136046753964343,0.10148523319691027,0.025266039479331065,0.09681289825531869,0.13412825311768845,5,0,0,4.4075157735244614,20260806,10000
