dataset,kir,distance,intent,seed,best_k,best_k_intent_oos_f1,delta_oos_f1_vs_k1,delta_intent_class_f1_vs_k1,delta_known_recall_vs_k1,best_k_intent_known_recall,best_k_false_reject_rate,best_k_false_accept_count,best_k_false_accept_rate,selection_metric_definition,kir_pct,multi_center_oracle,safe_gain_oracle
clinc150,0.75,euclidean,shopping_list_update,123,5,0.6129032258064516,0.1257237386269644,0.1257237386269644,0.0,0.6333333333333333,0.3666666666666666,7,0.0029914529914529,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,smart_home,42,3,0.9090909090909092,0.2152133580705008,0.2152133580705008,0.2666666666666667,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,smart_home,87,3,0.9090909090909092,0.2794612794612794,0.2794612794612794,0.2666666666666667,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,smart_home,100,3,0.8928571428571429,0.3066502463054188,0.3066502463054188,0.2666666666666667,0.8333333333333334,0.1666666666666666,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,True
clinc150,0.75,euclidean,spelling,13,1,0.918032786885246,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,spelling,42,1,0.918032786885246,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,spelling,100,1,0.918032786885246,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,spelling,123,1,0.918032786885246,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,2,0.0008547008547008,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,spending_history,87,2,0.8000000000000002,1.1102230246251563e-16,1.1102230246251563e-16,-0.0666666666666666,0.8,0.1666666666666666,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,True,False
clinc150,0.75,euclidean,spending_history,100,1,0.7761194029850748,0.0,0.0,0.0,0.8666666666666667,0.1333333333333333,5,0.0021367521367521,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,spending_history,123,1,0.7761194029850748,0.0,0.0,0.0,0.8666666666666667,0.1333333333333333,5,0.0021367521367521,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,sync_device,13,1,0.9090909090909092,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,sync_device,87,1,0.8928571428571429,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,1,0.0004273504273504,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,sync_device,100,1,0.9090909090909092,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,sync_device,123,1,0.9090909090909092,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,taxes,42,1,0.9655172413793104,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,taxes,87,1,0.9655172413793104,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,taxes,100,1,0.9655172413793104,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,taxes,123,1,0.9655172413793104,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,tell_joke,13,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,tell_joke,42,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,tell_joke,100,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
clinc150,0.75,euclidean,tell_joke,123,1,0.8235294117647058,0.0,0.0,0.0,0.7,0.3,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,75.0,False,False
