dataset,kir,distance,rows,intents,oracle_multi_center_rate,oracle_safe_gain_rate,mean_best_k,median_best_k,mean_delta_oos_f1,mean_delta_known_recall,mean_false_accept_rate
clinc150,0.6,euclidean,450,149,0.4955555555555556,0.3844444444444444,1.9066666666666667,1.0,0.03906450168737625,0.027111111111111103,0.0005888888888888759
clinc150,0.6,mahalanobis_diag,450,149,0.40444444444444444,0.31777777777777777,1.6066666666666667,1.0,0.02395306525889219,0.01718518518518518,0.0005266666666666547
clinc150,0.7,euclidean,525,149,0.4895238095238095,0.4038095238095238,1.9066666666666667,1.0,0.03749201644477938,0.031111111111111103,0.0005176470588235017
clinc150,0.7,mahalanobis_diag,525,149,0.3961904761904762,0.3180952380952381,1.5885714285714285,1.0,0.023116867543688302,0.018603174603174594,0.0004571428571428312
clinc150,0.75,euclidean,560,150,0.48928571428571427,0.40714285714285714,1.8839285714285714,1.0,0.03700722850846541,0.03154761904761904,0.0005036630036629918
clinc150,0.75,mahalanobis_diag,560,150,0.39285714285714285,0.3267857142857143,1.5714285714285714,1.0,0.023237375089106196,0.020178571428571417,0.0004525335775335659
clinc150,0.8,euclidean,600,150,0.49166666666666664,0.4066666666666667,1.8683333333333334,1.0,0.03614655106151942,0.031611111111111104,0.0004873015873015715
clinc150,0.8,mahalanobis_diag,600,150,0.39166666666666666,0.33,1.565,1.0,0.022566240725644605,0.020166666666666656,0.0004365079365079214
clinc150,0.9,euclidean,675,150,0.49037037037037035,0.4148148148148148,1.845925925925926,1.0,0.03668617560105821,0.03555555555555554,0.00038159371492704487
clinc150,0.9,mahalanobis_diag,675,150,0.4059259259259259,0.3422222222222222,1.5866666666666667,1.0,0.02370002843034579,0.021777777777777767,0.0003187429854096492
stackoverflow,0.1,euclidean,10,9,0.3,0.1,1.4,1.0,0.004476346059366891,-0.00466666666666667,0.02488888888888885
stackoverflow,0.1,mahalanobis_diag,10,9,0.3,0.2,1.4,1.0,0.00524891722518708,-0.00433333333333333,0.02185185185185181
stackoverflow,0.2,euclidean,20,12,0.45,0.2,1.9,1.0,0.00898053904134654,-0.01216666666666665,0.028812499999999963
stackoverflow,0.2,mahalanobis_diag,20,12,0.5,0.4,1.7,1.5,0.012486330788297171,5.898059818321144e-18,0.024968749999999977
stackoverflow,0.25,euclidean,25,14,0.48,0.28,1.8,1.0,0.0097918649410091,-0.008533333333333323,0.02279999999999996
stackoverflow,0.25,mahalanobis_diag,25,14,0.52,0.44,1.68,2.0,0.013705473562065331,0.0033333333333333405,0.020231111111111075
stackoverflow,0.3,euclidean,30,16,0.5,0.36666666666666664,1.7333333333333334,1.5,0.009299853396908633,-0.00622222222222222,0.020428571428571393
stackoverflow,0.3,mahalanobis_diag,30,16,0.4666666666666667,0.4,1.6,1.0,0.011570009458255221,0.0032222222222222274,0.01841269841269837
stackoverflow,0.4,euclidean,40,18,0.4,0.275,1.575,1.0,0.008544707077774532,-0.006916666666666666,0.023916666666666628
stackoverflow,0.4,mahalanobis_diag,40,18,0.4,0.3,1.7,1.0,0.014968179697097858,0.007000000000000004,0.01886805555555551
stackoverflow,0.5,euclidean,50,19,0.38,0.28,1.58,1.0,0.008092796969719934,-0.0069333333333333295,0.022866666666666636
stackoverflow,0.5,mahalanobis_diag,50,19,0.4,0.3,1.72,1.0,0.017325486950492228,0.009733333333333325,0.017406666666666633
stackoverflow,0.6,euclidean,60,20,0.3333333333333333,0.25,1.4833333333333334,1.0,0.0069333432421564475,-0.006055555555555548,0.021055555555555525
stackoverflow,0.6,mahalanobis_diag,60,20,0.35,0.26666666666666666,1.7166666666666666,1.0,0.014309837652099295,0.01049999999999999,0.01651388888888886
stackoverflow,0.7,euclidean,70,20,0.3,0.18571428571428572,1.4285714285714286,1.0,0.0056409148964016885,-0.0048095238095238095,0.019523809523809485
stackoverflow,0.7,mahalanobis_diag,70,20,0.3142857142857143,0.24285714285714285,1.6428571428571428,1.0,0.013044532189535366,0.01114285714285714,0.016222222222222183
stackoverflow,0.75,euclidean,75,20,0.28,0.17333333333333334,1.4,1.0,0.0052674276449780014,-0.004488888888888892,0.017004444444444412
stackoverflow,0.75,mahalanobis_diag,75,20,0.30666666666666664,0.24,1.64,1.0,0.012459783513546402,0.013155555555555552,0.013991111111111083
stackoverflow,0.8,euclidean,80,20,0.2875,0.175,1.425,1.0,0.005331786295794993,-0.00441666666666667,0.014197916666666643
stackoverflow,0.8,mahalanobis_diag,80,20,0.3,0.2375,1.7,1.0,0.012349734217910312,0.012124999999999993,0.011906249999999974
stackoverflow,0.9,euclidean,90,20,0.2222222222222222,0.14444444444444443,1.3,1.0,0.0032162749759641223,-0.0020370370370370364,0.010537037037037011
stackoverflow,0.9,mahalanobis_diag,90,20,0.34444444444444444,0.28888888888888886,1.9333333333333333,1.0,0.015102872640603926,0.01733333333333333,0.008925925925925903
