dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,damaged_card,30,19,0.6333333333333333,2,0.0004385964912280702
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,date,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,food_last,30,22,0.7333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,fun_fact,30,18,0.6,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,ingredient_substitution,30,26,0.8666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,last_maintenance,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,lost_luggage,30,7,0.23333333333333334,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,maybe,30,16,0.5333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,oil_change_how,30,9,0.3,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,payday,30,21,0.7,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,plug_type,30,13,0.43333333333333335,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,pto_request_status,30,12,0.4,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,pto_used,30,12,0.4,8,0.0017543859649122807
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,replacement_card_duration,30,23,0.7666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,restaurant_reservation,30,23,0.7666666666666667,2,0.0004385964912280702
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,rewards_balance,30,21,0.7,1,0.0002192982456140351
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,shopping_list_update,30,23,0.7666666666666667,3,0.0006578947368421052
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,spelling,30,19,0.6333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,tell_joke,30,19,0.6333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,timezone,30,16,0.5333333333333333,4,0.0008771929824561404
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,todo_list_update,30,17,0.5666666666666667,10,0.0021929824561403508
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,transfer,30,12,0.4,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,travel_alert,30,21,0.7,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,travel_notification,30,25,0.8333333333333334,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,uber,30,16,0.5333333333333333,1,0.0002192982456140351
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,user_name,30,15,0.5,1,0.0002192982456140351
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,vaccines,30,19,0.6333333333333333,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,what_are_your_hobbies,30,15,0.5,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,what_song,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,whisper_mode,30,12,0.4,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,bill_due,30,9,0.3,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,calories,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,cancel,30,17,0.5666666666666667,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,car_rental,30,17,0.5666666666666667,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,change_ai_name,30,21,0.7,13,0.0028508771929824563
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,change_speed,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,credit_score,30,9,0.3,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,current_location,30,7,0.23333333333333334,2,0.0004385964912280702
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,damaged_card,30,12,0.4,14,0.0030701754385964912
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,date,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,food_last,30,9,0.3,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,fun_fact,30,12,0.4,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,ingredient_substitution,30,22,0.7333333333333333,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,last_maintenance,30,2,0.06666666666666667,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,lost_luggage,30,1,0.03333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,maybe,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,oil_change_how,30,4,0.13333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,payday,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,plug_type,30,6,0.2,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,pto_request_status,30,9,0.3,11,0.002412280701754386
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,pto_used,30,5,0.16666666666666666,20,0.0043859649122807015
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,replacement_card_duration,30,15,0.5,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,restaurant_reservation,30,11,0.36666666666666664,7,0.0015350877192982456
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,rewards_balance,30,6,0.2,8,0.0017543859649122807
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,shopping_list_update,30,22,0.7333333333333333,6,0.0013157894736842105
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,spelling,30,13,0.43333333333333335,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,tell_joke,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,timezone,30,11,0.36666666666666664,5,0.0010964912280701754
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,todo_list_update,30,11,0.36666666666666664,22,0.004824561403508772
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,transfer,30,8,0.26666666666666666,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,travel_alert,30,18,0.6,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,travel_notification,30,16,0.5333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,uber,30,10,0.3333333333333333,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,user_name,30,13,0.43333333333333335,5,0.0010964912280701754
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,vaccines,30,16,0.5333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,what_are_your_hobbies,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,what_song,30,7,0.23333333333333334,1,0.0002192982456140351
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,whisper_mode,30,6,0.2,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,bill_due,30,22,0.7333333333333333,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,calories,30,21,0.7,0,0.0
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,cancel,30,17,0.5666666666666667,1,0.0002192982456140351
