dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path
clinc150,0.5,87,random_partition,Random K=2,5700,2250,3450,0.8959726768179878,0.8093333333333333,0.08753623188405797,0.19066666666666668,0.8959726768179878,0.8093333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/random_partition/predictions.tsv
clinc150,0.5,87,mogb_minilm,MOGB-MiniLM,5700,2250,3450,0.8176716417910448,0.3328888888888889,0.007536231884057971,0.6671111111111111,0.8176716417910448,0.3328888888888889,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/mogb_minilm/predictions.tsv
clinc150,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8596558317399617,0.5453333333333333,0.022608695652173914,0.45466666666666666,0.8596558317399617,0.5453333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.5,87,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8382552823427654,0.444,0.01681159420289855,0.556,0.8382552823427654,0.4439999999999999,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.5,100,trainable_k1,Trainable K=1,5700,2250,3450,0.9051512673753066,0.748,0.03739130434782609,0.252,0.9051512673753066,0.748,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.50/runs/clinc150/seed_100/predictions.jsonl
clinc150,0.5,100,single_centroid,Frozen K=1,5700,2250,3450,0.8876595744680851,0.7906666666666666,0.09304347826086956,0.20933333333333334,0.8876595744680851,0.7906666666666666,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/single_centroid/predictions.tsv
clinc150,0.5,100,fixed_k2,Frozen K=2,5700,2250,3450,0.8901220865704772,0.7555555555555555,0.07014492753623189,0.24444444444444444,0.8901220865704772,0.7555555555555555,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/fixed_k2/predictions.tsv
clinc150,0.5,100,random_partition,Random K=2,5700,2250,3450,0.8901224025049815,0.8004444444444444,0.0936231884057971,0.19955555555555557,0.8901224025049815,0.8004444444444444,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/random_partition/predictions.tsv
clinc150,0.5,100,mogb_minilm,MOGB-MiniLM,5700,2250,3450,0.814364113576712,0.3248888888888889,0.010724637681159421,0.6751111111111111,0.814364113576712,0.3248888888888889,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/mogb_minilm/predictions.tsv
clinc150,0.5,100,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8553893364019947,0.544,0.030434782608695653,0.456,0.8553893364019947,0.544,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.5,100,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8321239699913909,0.4231111111111111,0.019420289855072465,0.5768888888888889,0.8321239699913909,0.4231111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.5,123,trainable_k1,Trainable K=1,5700,2250,3450,0.9039116805233747,0.7462222222222222,0.03884057971014493,0.25377777777777777,0.9039116805233748,0.7462222222222222,-1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.50/runs/clinc150/seed_123/predictions.jsonl
clinc150,0.5,123,single_centroid,Frozen K=1,5700,2250,3450,0.8912092563849302,0.7871111111111111,0.08463768115942029,0.21288888888888888,0.8912092563849302,0.7871111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_123/single_centroid/predictions.tsv
