dataset,mode,ball_id,center_l2,majority_label,purity,radius,sample_count,kir
stackoverflow,official_fixed,25,11.35894892268731,2,1.0,2.0756020545959477,37,0.5
stackoverflow,official_fixed,26,11.554607285536411,3,1.0,2.276309013366699,10,0.5
stackoverflow,official_fixed,27,11.05921995519918,2,1.0,2.4437901973724365,12,0.5
banking77,official_fixed,0,18.183563496415733,29,1.0,4.212723255157471,94,0.75
banking77,official_fixed,1,16.06340333049317,31,1.0,4.255228519439697,99,0.75
banking77,official_fixed,2,19.14474237268691,45,1.0,5.381811141967773,149,0.75
banking77,official_fixed,3,20.18419361182181,57,1.0,4.773560047149658,112,0.75
banking77,official_fixed,4,17.410979923385785,15,1.0,4.615389823913574,109,0.75
banking77,official_fixed,5,18.77036470937899,3,1.0,5.722698211669922,90,0.75
banking77,official_fixed,6,18.35713859324268,6,1.0,5.065847873687744,23,0.75
banking77,official_fixed,7,16.909428965684018,7,1.0,3.594658374786377,94,0.75
banking77,official_fixed,8,17.982913439698834,8,1.0,4.674502372741699,66,0.75
banking77,official_fixed,9,20.09452062488548,10,1.0,4.936152458190918,65,0.75
banking77,official_fixed,10,18.685029189124027,11,1.0,4.463579177856445,77,0.75
banking77,official_fixed,11,16.77316460650904,12,1.0,4.935894966125488,110,0.75
banking77,official_fixed,12,16.883752245656833,14,1.0,4.025663375854492,103,0.75
banking77,official_fixed,13,17.728758916538148,16,1.0,3.895160675048828,105,0.75
banking77,official_fixed,14,17.92461305714689,17,1.0,3.849097967147827,67,0.75
banking77,official_fixed,15,19.21217100365148,22,1.0,6.295116424560547,38,0.75
banking77,official_fixed,16,18.99936527574086,23,1.0,5.256150245666504,79,0.75
banking77,official_fixed,17,18.24754789136768,24,1.0,3.2933385372161865,14,0.75
banking77,official_fixed,18,18.84147251083509,26,1.0,4.72728967666626,90,0.75
banking77,official_fixed,19,17.669589415862774,27,1.0,4.856122970581055,90,0.75
banking77,official_fixed,20,18.725843243732,28,1.0,4.383519649505615,48,0.75
banking77,official_fixed,21,18.70101047854873,32,1.0,4.593498229980469,101,0.75
banking77,official_fixed,22,18.7001317554933,33,1.0,5.6328887939453125,33,0.75
banking77,official_fixed,23,18.64774875040904,34,1.0,5.242497444152832,55,0.75
banking77,official_fixed,24,18.63940588312372,35,1.0,4.552889347076416,112,0.75
banking77,official_fixed,25,18.30199793414228,36,1.0,4.697704315185547,106,0.75
banking77,official_fixed,26,19.35158844346108,40,1.0,4.219283580780029,94,0.75
banking77,official_fixed,27,18.243560116265552,42,1.0,5.025505065917969,104,0.75
banking77,official_fixed,28,19.03496303702978,43,1.0,5.089629173278809,64,0.75
banking77,official_fixed,29,18.72916630359679,28,1.0,4.261145114898682,27,0.75
banking77,official_fixed,30,19.1502278054116,47,1.0,4.4452338218688965,135,0.75
banking77,official_fixed,31,19.62016670147536,43,1.0,3.727008104324341,54,0.75
banking77,official_fixed,32,18.300248710483533,26,1.0,4.601541042327881,48,0.75
