dataset,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
stackoverflow,frozen_minilm,1,euclidean,mean_std,110,0.7783170555915597,0.1920465129693682,0.7404725108225109,0.15352872489639816,0.7512464497980487,0.1622998595491192,0.8662883898508899,0.01491505264092952,0.8976840127725669,0.036943479803782556,0.7811064320774347,0.19921439707369895,0.2900831228956229,0.09574848617444645,0.2595274891774892,0.15352872489639816,0.13371161014911015,0.014915052640929521,0.12593239392471414,0.06584624847321816,64411.551259593674,39422.045628054875,1741656.0,0.0,10.0,5.15805240252132,600.0,0.0
stackoverflow,frozen_minilm,1,mahalanobis_diag,mean_std,110,0.7567378362073209,0.20618346298050758,0.7827752405002405,0.132006749205968,0.7596412997753861,0.16403340000124444,0.838451473063973,0.010821439510748463,0.8943501545244108,0.0412853001354672,0.7857492983184198,0.19986133846683596,0.2951257635882636,0.09861278561763547,0.2172247594997595,0.132006749205968,0.16154852693602695,0.010821439510748465,0.22896279976809059,0.12291073471225077,38663.395482755885,29315.72641010056,1741656.0,0.0,10.0,5.15805240252132,600.0,0.0
stackoverflow,frozen_minilm,2,euclidean,mean_std,110,0.7228004031841312,0.23648591757268847,0.5535158790283791,0.19321422722207648,0.6200056282521252,0.20595110875151626,0.8685322811447811,0.014855899179633219,0.8326375386804553,0.05583800894638669,0.6946304174321453,0.2464585031340185,0.46164276094276097,0.12435302764028702,0.446484120971621,0.19321422722207648,0.13146771885521885,0.014855899179633213,0.2838325892374004,0.13611324707075684,28430.610149073094,18940.97468459376,1741656.0,0.0,20.0,10.31610480504264,120.51818181818182,37.508343247571574
stackoverflow,frozen_minilm,2,mahalanobis_diag,mean_std,110,0.7714914346078978,0.20430035561184373,0.6128761002886003,0.17930350618843158,0.6774423340277711,0.1843137663543944,0.8897088924963925,0.022908813550226052,0.8708904974376703,0.050176374690444045,0.7700049846704577,0.2142175723877328,0.4088935245310245,0.12364041960674257,0.3871238997113997,0.17930350618843158,0.1102911075036075,0.02290881355022605,0.4880321416294795,0.2361931442033769,17229.392580158354,12434.068620760185,1741656.0,0.0,20.0,10.31610480504264,120.51818181818182,37.508343247571574
stackoverflow,frozen_minilm,3,euclidean,mean_std,110,0.6679240690671778,0.2639132101984204,0.4698507455507456,0.18269525607198783,0.5438044381645895,0.21099204587204473,0.8483740740740741,0.013369683143302584,0.7823248463774651,0.06161682193673289,0.6451865006046298,0.2617598722313931,0.5467390933140933,0.11113229715810446,0.5301492544492544,0.18269525607198783,0.15162592592592591,0.01336968314330258,0.36467731591335245,0.17252436367483162,22488.9503465148,15835.745436201614,1741656.0,0.0,30.0,15.47415720756396,65.06363636363636,18.95493316376247
stackoverflow,frozen_minilm,3,mahalanobis_diag,mean_std,110,0.7727323320119167,0.2032912291550417,0.5479175384800384,0.1870248989792311,0.634407511503643,0.18952915531959863,0.9018111111111111,0.033109067663781626,0.8544511005551547,0.055674944012544365,0.76051315539403,0.21761313029949175,0.47850904280904283,0.12848606207265215,0.4520824615199615,0.18702489897923114,0.0981888888888889,0.033109067663781626,0.6855916144421578,0.3548967326646607,12307.758108293085,8269.027628288262,1741656.0,0.0,30.0,15.47415720756396,65.06363636363636,18.95493316376247
stackoverflow,frozen_minilm,4,euclidean,mean_std,110,0.6662638166139732,0.2603376565949173,0.47145812890812894,0.169581793599601,0.5444304900958823,0.20212271906563384,0.842161063011063,0.01295758097725943,0.7868676030032468,0.051767524018087076,0.6468204179950552,0.2566164517360966,0.529715842953343,0.10163480695386574,0.5285418710918711,0.16958179359960096,0.157838936988937,0.01295758097725943,0.46128647224448455,0.20686479827465473,17214.444425004152,11229.022245852353,1741656.0,0.0,40.0,20.63220961008528,46.14545454545455,12.273516176417306
stackoverflow,frozen_minilm,4,mahalanobis_diag,mean_std,110,0.7687480859461663,0.2052802749033456,0.5523242604617604,0.17926416173712145,0.6368305265387327,0.18505498589921004,0.8979017917267917,0.030071750849667178,0.8530886018638769,0.052669395746091446,0.7565947366895557,0.2184198351546891,0.4786145322270322,0.11981987065374698,0.4476757395382395,0.17926416173712145,0.10209820827320827,0.030071750849667178,0.8410036471820521,0.3999408772954964,9748.304241089721,6503.375948209579,1741656.0,0.0,40.0,20.63220961008528,46.14545454545455,12.273516176417306
stackoverflow,frozen_minilm,5,euclidean,mean_std,110,0.6562641333480266,0.26129124795416636,0.46859550865800864,0.16891032498108305,0.5375971439324781,0.20135967053041415,0.8315508958633958,0.014481972900486707,0.7801576123797499,0.04974204097778424,0.6405123858421056,0.25586660030237907,0.5295768638768639,0.10424177668778,0.5314044913419913,0.16891032498108305,0.16844910413660413,0.014481972900486709,0.5673454417667182,0.28385599456488025,14421.560118855712,9593.073546367328,1741656.0,0.0,50.0,25.7902620126066,37.91818181818182,9.06867966091685
stackoverflow,frozen_minilm,5,mahalanobis_diag,mean_std,110,0.7519272379273896,0.21158174540545888,0.5588847703222704,0.17742391769789104,0.6355955261962062,0.18667603474501138,0.8822557178932179,0.03295346922962707,0.8487641277537278,0.05217651916061863,0.7468888601278002,0.2237876580064499,0.4728489538239538,0.12218675925307791,0.44111522967772965,0.17742391769789104,0.1177442821067821,0.03295346922962707,1.061162491641219,0.5500883979218643,8172.670198921988,6020.410488407376,1741656.0,0.0,50.0,25.7902620126066,37.91818181818182,9.06867966091685
