dataset,dataset_label,kir,method,method_label,oos_f1_delta_vs_frozen_k1_pp,f1_all_delta_vs_frozen_k1_pp,known_recall_delta_vs_frozen_k1_pp,false_accept_delta_vs_frozen_k1_pp,false_reject_delta_vs_frozen_k1_pp,absolute_oos_f1,absolute_false_accept_rate
stackoverflow,StackOverflow,0.5,fixed_k2,Frozen K=2,-13.020144872799355,-7.220815926316925,-0.25999999999999357,17.460000000000008,0.2599999999999991,0.6352945072329976,0.4716666666666667
stackoverflow,StackOverflow,0.5,random_partition,Random K=2,-0.6696280484753347,-0.17555112358076386,0.4933333333333345,1.2733333333333319,-0.49333333333334006,0.7587996754762378,0.3097999999999999
stackoverflow,StackOverflow,0.5,trainable_k1,Trainable K=1,11.121070917264596,6.5711312594810884,-3.2533333333333303,-20.36666666666667,3.2533333333333303,0.8767066651336372,0.0933999999999999
stackoverflow,StackOverflow,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,2.697466899817458,-16.635464295896575,-36.75999999999999,-27.84666666666667,36.760000000000005,0.7924706249591658,0.0185999999999999
stackoverflow,StackOverflow,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,-3.1974136146964094,-16.392694295922894,-32.65333333333332,-14.013333333333328,32.653333333333336,0.7335218198140271,0.1569333333333333
stackoverflow,StackOverflow,0.5,mogb_minilm,MOGB-MiniLM,-3.629652838770714,-36.681606866964714,-60.053333333333335,-28.91333333333334,60.053333333333335,0.729199427573284,0.0079333333333332
stackoverflow,StackOverflow,0.75,fixed_k2,Frozen K=2,-21.970603753577773,-6.772107785468606,0.39999999999998925,28.84000000000001,-0.39999999999999897,0.436346976786457,0.6166666666666667
stackoverflow,StackOverflow,0.75,random_partition,Random K=2,-0.5953780772385509,-0.15880142758447624,0.5733333333333368,1.7333333333333312,-0.5733333333333299,0.6500992335498492,0.3455999999999999
stackoverflow,StackOverflow,0.75,trainable_k1,Trainable K=1,10.69848305862826,6.042050272246069,-3.506666666666669,-24.026666666666667,3.5066666666666704,0.7630378449085173,0.0879999999999999
stackoverflow,StackOverflow,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-14.038112749438314,-31.653989068796978,-48.555555555555564,-31.02666666666667,48.55555555555557,0.5156718868278516,0.0179999999999999
stackoverflow,StackOverflow,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,-17.125885328198116,-20.01813983382059,-34.12444444444445,-9.45333333333333,34.12444444444445,0.4847941610402536,0.2337333333333333
stackoverflow,StackOverflow,0.75,mogb_minilm,MOGB-MiniLM,-20.016898118779302,-48.14473900934109,-66.4488888888889,-32.16,66.4488888888889,0.4558840331344417,0.0066666666666666
