dataset,kir,seed,k,radius_lambda,distance,radius_method,threshold,calibration_known_recall,calibration_false_reject_rate,test_used_for_selection,oos_used_for_training,test_oos_precision,test_oos_recall,test_oos_f1,test_id_recall,test_oos_rejection,test_auroc,test_aupr_oos,test_fpr95,test_false_accept_rate,test_false_reject_rate,test_f1_all,test_f1_u,test_f1_k,test_accuracy,test_known_recall,known_only_selected_lambda,known_only_selection_constraint_met
banking77,0.5,42,2,1.0,mahalanobis_diag,mean_std,1.0,0.8,0.2,False,False,0.8183442525312686,0.8807692307692307,0.8484100030873727,0.7993421052631579,0.8807692307692307,0.9068775303643724,0.8933607772373856,0.3177631578947368,0.1192307692307692,0.2006578947368421,0.8157610777589126,0.8484100030873727,0.8149018955134268,0.8298701298701299,0.7993421052631579,2.0,False
banking77,0.5,42,2,1.25,mahalanobis_diag,mean_std,1.0,0.8545454545454545,0.1454545454545454,False,False,0.8376288659793815,0.8333333333333334,0.8354755784061697,0.8342105263157895,0.8333333333333334,0.9072558198380568,0.893883905650807,0.3217105263157894,0.1666666666666666,0.1657894736842105,0.8188564233527575,0.8354755784061697,0.8184190771671416,0.8227272727272728,0.8342105263157895,2.0,False
banking77,0.5,42,2,1.5,mahalanobis_diag,mean_std,1.0,0.896969696969697,0.103030303030303,False,False,0.8621933621933622,0.7660256410256411,0.8112695179904956,0.8743421052631579,0.7660256410256411,0.9073384784075574,0.894021558144718,0.3190789473684211,0.2339743589743589,0.1256578947368421,0.8165316662577844,0.8112695179904956,0.8166701438437657,0.8061688311688312,0.8743421052631579,2.0,False
banking77,0.5,42,2,2.0,mahalanobis_diag,mean_std,1.0,0.9434343434343434,0.0565656565656565,False,False,0.8964862298195632,0.6051282051282051,0.7225411404515882,0.9282894736842106,0.6051282051282051,0.9068766869095816,0.8933886280641014,0.3197368421052631,0.3948717948717948,0.0717105263157894,0.7910225575978325,0.7225411404515882,0.7928247001543125,0.7451298701298701,0.9282894736842106,2.0,False
banking77,0.5,87,1,0.5,mahalanobis_diag,mean_std,1.0,0.6910569105691057,0.3089430894308943,False,False,0.763103802672148,0.9519230769230768,0.8471192241871078,0.6967105263157894,0.9519230769230768,0.9109522604588396,0.8880450313015178,0.2914473684210526,0.048076923076923,0.3032894736842105,0.7825090489096169,0.8471192241871078,0.7808087811391566,0.8185064935064935,0.6967105263157894,2.0,False
banking77,0.5,87,1,0.75,mahalanobis_diag,mean_std,1.0,0.7886178861788617,0.2113821138211382,False,False,0.8015651201788708,0.9192307692307692,0.8563750373245745,0.7664473684210527,0.9192307692307692,0.911896508097166,0.890197967685378,0.2861842105263157,0.0807692307692307,0.2335526315789473,0.8154871224002055,0.8563750373245745,0.8144111246390379,0.8357142857142857,0.7664473684210527,2.0,False
banking77,0.5,87,1,1.0,mahalanobis_diag,mean_std,1.0,0.8313008130081301,0.1686991869918699,False,False,0.8338405356055996,0.8782051282051282,0.8554480174836091,0.8203947368421053,0.8782051282051282,0.9123578778677464,0.8918112259260201,0.2881578947368421,0.1217948717948717,0.1796052631578947,0.8324583407388371,0.8554480174836091,0.8318533492455537,0.839935064935065,0.8203947368421053,2.0,False
banking77,0.5,87,1,1.25,mahalanobis_diag,mean_std,1.0,0.8699186991869918,0.1300813008130081,False,False,0.8555334658714381,0.8275641025641025,0.8413163897034864,0.8565789473684211,0.8275641025641025,0.912386133603239,0.8927759680795238,0.306578947368421,0.1724358974358974,0.1434210526315789,0.835298090495663,0.8413163897034864,0.8351397142007201,0.8305194805194805,0.8565789473684211,2.0,False
banking77,0.5,87,1,1.5,mahalanobis_diag,mean_std,1.0,0.8983739837398375,0.1016260162601626,False,False,0.8738007380073801,0.7589743589743589,0.8123499142367067,0.8875,0.7589743589743589,0.912082068151147,0.893433790460706,0.3105263157894737,0.241025641025641,0.1125,0.8283470431131698,0.8123499142367067,0.8287680201888661,0.8087662337662338,0.8875,2.0,False
banking77,0.5,87,1,2.0,mahalanobis_diag,mean_std,1.0,0.9410569105691056,0.0589430894308943,False,False,0.9022931206380858,0.5801282051282052,0.7062036675770581,0.9355263157894737,0.5801282051282052,0.9108548414304992,0.8939442357579876,0.3335526315789474,0.4198717948717949,0.0644736842105263,0.7967630073354109,0.7062036675770581,0.7991461478553676,0.7366883116883117,0.9355263157894737,2.0,False
banking77,0.5,87,2,0.5,mahalanobis_diag,mean_std,1.0,0.7032520325203252,0.2967479674796748,False,False,0.7587965323814381,0.953846153846154,0.8452144277193979,0.6888157894736842,0.953846153846154,0.9029525134952766,0.8731431215567272,0.3006578947368421,0.0461538461538461,0.3111842105263158,0.7767211817466696,0.8452144277193979,0.7749187279052819,0.8155844155844156,0.6888157894736842,2.0,False
banking77,0.5,87,2,0.75,mahalanobis_diag,mean_std,1.0,0.7601626016260162,0.2398373983739837,False,False,0.793972602739726,0.928846153846154,0.8561299852289512,0.7526315789473684,0.928846153846154,0.9044918184885292,0.8749648184137844,0.2947368421052631,0.0711538461538461,0.2473684210526315,0.8067075528318731,0.8561299852289512,0.8054069625056343,0.8327922077922078,0.7526315789473684,2.0,False
banking77,0.5,87,2,1.0,mahalanobis_diag,mean_std,1.0,0.8191056910569106,0.1808943089430894,False,False,0.8197399527186762,0.889102564102564,0.8530135301353013,0.7993421052631579,0.889102564102564,0.9054655870445344,0.8760424595234928,0.3052631578947368,0.1108974358974358,0.2006578947368421,0.8192523990177647,0.8530135301353013,0.8183639481988823,0.8340909090909091,0.7993421052631579,2.0,False
