dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_better_delta,median_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size,interpretation,effect_pp,ci95_low_pp,ci95_high_pp,significant_95,metric_label
clinc150,0.5,random_partition,Random K=2,known_recall,5,-0.0503111111111111,-0.0515555555555555,0.0120509207680585,-0.0597333333333333,-0.0398222222222222,0,0,5,0.0625,-4.174876930936493,trainable_minus_comparison,-5.03111111111111,-5.97333333333333,-3.9822222222222203,True,Known Recall
clinc150,0.5,random_partition,Random K=2,false_reject_rate,5,-0.0503111111111111,-0.0515555555555555,0.0120509207680585,-0.0597333333333333,-0.0398222222222222,0,0,5,0.0625,-4.174876930936488,comparison_minus_trainable,-5.03111111111111,-5.97333333333333,-3.9822222222222203,True,False rejection
clinc150,0.5,random_partition,Random K=2,f1_k,5,0.0106184898586442,0.0092467018422153,0.0037170596226604,0.0077450771000339,0.0134919026172545,5,0,0,0.0625,2.856690754678888,trainable_minus_comparison,1.06184898586442,0.77450771000339,1.3491902617254499,True,F1-K
clinc150,0.5,random_partition,Random K=2,auroc,5,0.0230107053140096,0.0221304991948469,0.0058529106525667,0.0185874138486313,0.0275775587761673,5,0,0,0.0625,3.93149779313966,trainable_minus_comparison,2.30107053140096,1.85874138486313,2.75775587761673,True,AUROC
clinc150,0.5,random_partition,Random K=2,oos_f1,5,0.0137030342699445,0.0142039394110408,0.0027168705530507,0.0114860384179569,0.0156909666003868,5,0,0,0.0625,5.043683165014016,trainable_minus_comparison,1.37030342699445,1.14860384179569,1.56909666003868,True,OOS F1
clinc150,0.5,mogb_minilm,MOGB MiniLM,false_accept_rate,5,-0.0278840579710144,-0.0266666666666665,0.0075956409745817,-0.0340869565217391,-0.0222608695652174,0,0,5,0.0625,-3.6710605549059694,comparison_minus_trainable,-2.78840579710144,-3.40869565217391,-2.22608695652174,True,False acceptance
clinc150,0.5,mogb_minilm,MOGB MiniLM,f1_all,5,0.3686281655804936,0.3713012405792631,0.0114096934691701,0.3591524288707181,0.3771021059978633,5,0,0,0.0625,32.308332084166395,trainable_minus_comparison,36.86281655804936,35.915242887071805,37.71021059978633,True,F1-All
clinc150,0.5,mogb_minilm,MOGB MiniLM,aupr_oos,5,0.0816645060450391,0.0779756727893461,0.0112590050066952,0.0738334684656449,0.0910962797808892,5,0,0,0.0625,7.2532613669215555,trainable_minus_comparison,8.16645060450391,7.38334684656449,9.10962797808892,True,AUPR-OOS
clinc150,0.5,mogb_minilm,MOGB MiniLM,known_recall,5,0.4287111111111111,0.428888888888889,0.0126358299106495,0.4187555555555555,0.4381333333333334,5,0,0,0.0625,33.92821161274041,trainable_minus_comparison,42.87111111111111,41.87555555555555,43.81333333333334,True,Known Recall
clinc150,0.5,mogb_minilm,MOGB MiniLM,false_reject_rate,5,0.4287111111111111,0.428888888888889,0.0126358299106494,0.4187555555555556,0.4381333333333334,5,0,0,0.0625,33.928211612740434,comparison_minus_trainable,42.87111111111111,41.87555555555556,43.81333333333334,True,False rejection
clinc150,0.5,mogb_minilm,MOGB MiniLM,f1_k,5,0.3723272206156001,0.3750180934811142,0.0115641687660635,0.3627192204513297,0.3809144596536273,5,0,0,0.0625,32.19662633325086,trainable_minus_comparison,37.23272206156001,36.27192204513297,38.09144596536273,True,F1-K
clinc150,0.5,mogb_minilm,MOGB MiniLM,auroc,5,0.0768576876006441,0.0754585507246377,0.0111252218190737,0.0683483671497585,0.0868506022544282,5,0,0,0.0625,6.90841844329566,trainable_minus_comparison,7.68576876006441,6.83483671497585,8.68506022544282,True,AUROC
clinc150,0.5,mogb_minilm,MOGB MiniLM,oos_f1,5,0.091199037947512,0.0910004449298224,0.0026488079063496,0.0890536465935965,0.0932930889787147,5,0,0,0.0625,34.430219620264644,trainable_minus_comparison,9.119903794751199,8.90536465935965,9.32930889787147,True,OOS F1
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,false_accept_rate,5,-0.0119420289855072,-0.0069565217391303,0.0082351493829935,-0.0193043478260869,-0.0062608695652173,0,0,5,0.0625,-1.4501290055732132,comparison_minus_trainable,-1.19420289855072,-1.93043478260869,-0.62608695652173,True,False acceptance
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,f1_all,5,0.1721844564526416,0.1656260420072672,0.0129954544617344,0.1633151195490073,0.1835299804380468,5,0,0,0.0625,13.24959099811742,trainable_minus_comparison,17.21844564526416,16.33151195490073,18.352998043804682,True,F1-All
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,aupr_oos,5,0.0452306669244037,0.0466285348802487,0.010066069860632,0.0371185408590711,0.0522260987087572,5,0,0,0.0625,4.493379000010595,trainable_minus_comparison,4.52306669244037,3.7118540859071096,5.222609870875719,True,AUPR-OOS
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,known_recall,5,0.2110222222222222,0.2039999999999999,0.0171454201493799,0.1981333333333333,0.2242666666666666,5,0,0,0.0625,12.307789507850192,trainable_minus_comparison,21.10222222222222,19.81333333333333,22.42666666666666,True,Known Recall
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,false_reject_rate,5,0.2110222222222222,0.204,0.0171454201493799,0.1977777777777777,0.2242666666666666,5,0,0,0.0625,12.307789507850208,comparison_minus_trainable,21.10222222222222,19.777777777777768,22.42666666666666,True,False rejection
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,f1_k,5,0.1738290524949184,0.1671708968210532,0.0131737444815878,0.1648453958572603,0.185337851209677,5,0,0,0.0625,13.195113411973985,trainable_minus_comparison,17.382905249491838,16.48453958572603,18.5337851209677,True,F1-K
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,auroc,5,0.0479904927536231,0.0485015136876005,0.009883576993359,0.0397212495974234,0.0553314782608694,5,0,0,0.0625,4.855579390525175,trainable_minus_comparison,4.79904927536231,3.9721249597423403,5.53314782608694,True,AUROC
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours boundary,oos_f1,5,0.048839753281881,0.0490162549809054,0.0015476565346521,0.0476443157139398,0.0500351908498222,5,0,0,0.0625,31.55723003674001,trainable_minus_comparison,4.883975328188099,4.76443157139398,5.00351908498222,True,OOS F1
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,false_accept_rate,5,-0.0200579710144927,-0.0179710144927536,0.0096295596160726,-0.028,-0.0133333333333333,0,0,5,0.0625,-2.0829582882496744,comparison_minus_trainable,-2.00579710144927,-2.8000000000000003,-1.33333333333333,True,False acceptance
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,f1_all,5,0.25407306847778,0.2582163029833232,0.0093499190698651,0.2455947121465051,0.259118790375412,5,0,0,0.0625,27.17382541808925,trainable_minus_comparison,25.407306847778,24.55947121465051,25.9118790375412,True,F1-All
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,aupr_oos,5,0.0633388311728335,0.0608934712995566,0.0072332306299683,0.0582345753044897,0.0696139103601946,5,0,0,0.0625,8.75664477092873,trainable_minus_comparison,6.333883117283349,5.82345753044897,6.96139103601946,True,AUPR-OOS
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,known_recall,5,0.3220444444444444,0.3248888888888889,0.0144311049515778,0.3099555555555556,0.3321777777777778,5,0,0,0.0625,22.315993510201192,trainable_minus_comparison,32.20444444444444,30.99555555555556,33.217777777777776,True,Known Recall
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,false_reject_rate,5,0.3220444444444444,0.3248888888888889,0.0144311049515779,0.3099555555555556,0.3323555555555555,5,0,0,0.0625,22.31599351020117,comparison_minus_trainable,32.20444444444444,30.99555555555556,33.23555555555555,True,False rejection
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,f1_k,5,0.2565118866003515,0.2606854897246486,0.0094729778039688,0.2479339718566237,0.2616394007488842,5,0,0,0.0625,27.0782737918884,trainable_minus_comparison,25.651188660035153,24.793397185662368,26.16394007488842,True,F1-K
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,auroc,5,0.0634435040257648,0.0661842190016099,0.009176222601585,0.0561931078904992,0.0697321481481481,5,0,0,0.0625,6.913902024870885,trainable_minus_comparison,6.34435040257648,5.61931078904992,6.97321481481481,True,AUROC
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB boundary,oos_f1,5,0.0711617092849186,0.0728636883588301,0.003242094398074,0.0685721601715492,0.0732618816021423,5,0,0,0.0625,21.949302070659236,trainable_minus_comparison,7.116170928491861,6.8572160171549195,7.32618816021423,True,OOS F1
clinc150,0.75,single_centroid,Frozen K=1,false_accept_rate,5,0.0608547008547008,0.0581196581196581,0.0064358463579544,0.056068376068376,0.0661538461538461,5,0,0,0.0625,9.455586331623213,comparison_minus_trainable,6.08547008547008,5.6068376068376,6.6153846153846105,True,False acceptance
clinc150,0.75,single_centroid,Frozen K=1,f1_all,5,0.0117149993629094,0.0105916587149248,0.0049264589754474,0.0086399670882917,0.0162057099731041,5,0,0,0.0625,2.3779756253517856,trainable_minus_comparison,1.1714999362909402,0.86399670882917,1.6205709973104099,True,F1-All
clinc150,0.75,single_centroid,Frozen K=1,aupr_oos,5,0.0496810027190861,0.0473517299729263,0.0064897867987412,0.0462694998862759,0.0555828162156656,5,0,0,0.0625,7.655259604016907,trainable_minus_comparison,4.96810027190861,4.62694998862759,5.55828162156656,True,AUPR-OOS
clinc150,0.75,single_centroid,Frozen K=1,known_recall,5,-0.0395238095238094,-0.0407738095238094,0.0047217428394795,-0.0431547619047618,-0.0358928571428571,0,0,5,0.0625,-8.370597651642903,trainable_minus_comparison,-3.9523809523809397,-4.31547619047618,-3.58928571428571,True,Known Recall
clinc150,0.75,single_centroid,Frozen K=1,false_reject_rate,5,-0.0395238095238095,-0.0407738095238094,0.0047217428394795,-0.0431547619047619,-0.0358928571428571,0,0,5,0.0625,-8.370597651642889,comparison_minus_trainable,-3.9523809523809503,-4.31547619047619,-3.58928571428571,True,False rejection
clinc150,0.75,single_centroid,Frozen K=1,f1_k,5,0.01172113737261,0.0106279584981103,0.0049464803352116,0.0086198448159005,0.0161602211380844,5,0,0,0.0625,2.369591422242797,trainable_minus_comparison,1.172113737261,0.8619844815900499,1.61602211380844,True,F1-K
clinc150,0.75,single_centroid,Frozen K=1,auroc,5,0.0300529354904355,0.0287990944240946,0.0030694531915985,0.027770757020757,0.0325822903947903,5,0,0,0.0625,9.790973705900914,trainable_minus_comparison,3.00529354904355,2.7770757020757,3.25822903947903,True,AUROC
clinc150,0.75,single_centroid,Frozen K=1,oos_f1,5,0.0110275422764409,0.0107986486301649,0.0046288738728967,0.0073272121033673,0.0147278724495145,5,0,0,0.0625,2.3823380328010524,trainable_minus_comparison,1.1027542276440898,0.73272121033673,1.47278724495145,True,OOS F1
clinc150,0.75,fixed_k2,Frozen K=2,false_accept_rate,5,0.033076923076923,0.0316239316239317,0.0067272070345786,0.0282905982905983,0.0388034188034188,5,0,0,0.0625,4.916887930890776,comparison_minus_trainable,3.3076923076922995,2.82905982905983,3.8803418803418803,True,False acceptance
clinc150,0.75,fixed_k2,Frozen K=2,f1_all,5,0.0147786957805258,0.0154904366119827,0.0068756609027953,0.0086816305502724,0.0201433673191539,5,0,0,0.0625,2.1494218504169416,trainable_minus_comparison,1.47786957805258,0.86816305502724,2.01433673191539,True,F1-All
clinc150,0.75,fixed_k2,Frozen K=2,aupr_oos,5,0.0621073850473006,0.0679749709201505,0.0106235993046923,0.0529270859080579,0.0697629843830234,5,0,0,0.0625,5.846171647293617,trainable_minus_comparison,6.2107385047300605,5.29270859080579,6.97629843830234,True,AUPR-OOS
clinc150,0.75,fixed_k2,Frozen K=2,known_recall,5,-0.006845238095238,-0.0089285714285713,0.0073566708894691,-0.0111904761904761,-0.0001190476190476,1,0,4,0.375,-0.9304804031721452,trainable_minus_comparison,-0.6845238095238,-1.11904761904761,-0.011904761904760001,True,Known Recall
clinc150,0.75,fixed_k2,Frozen K=2,false_reject_rate,5,-0.006845238095238,-0.0089285714285713,0.0073566708894692,-0.0111904761904761,-0.0002380952380951,1,0,4,0.375,-0.9304804031721384,comparison_minus_trainable,-0.6845238095238,-1.11904761904761,-0.02380952380951,True,False rejection
clinc150,0.75,fixed_k2,Frozen K=2,f1_k,5,0.0147905165214718,0.0155101733607165,0.0068801713812536,0.0086774388595828,0.0201434303200381,5,0,0,0.0625,2.149730828184242,trainable_minus_comparison,1.47905165214718,0.86774388595828,2.01434303200381,True,F1-K
