dataset,kir,distance,seed,best_k,best_k_oos_f1,k1_oos_f1,delta_oos_f1_vs_k1,selection_note
clinc150,0.60,euclidean,87,1,0.8733290897517505,0.8733290897517505,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,euclidean,100,1,0.8655664156385194,0.8655664156385194,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,euclidean,123,1,0.8612486029059556,0.8612486029059556,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,mahalanobis_diag,13,1,0.8662853609522337,0.8662853609522337,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,mahalanobis_diag,42,2,0.8507596067917783,0.8475046210720887,0.0032549857196896292,test-set oracle for sensitivity analysis only
clinc150,0.60,mahalanobis_diag,87,1,0.8728233830845772,0.8728233830845772,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,mahalanobis_diag,100,1,0.8673756646856428,0.8673756646856428,0.0,test-set oracle for sensitivity analysis only
clinc150,0.60,mahalanobis_diag,123,1,0.8655462184873949,0.8655462184873949,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,euclidean,13,2,0.841164095371669,0.8386167146974064,0.0025473806742626337,test-set oracle for sensitivity analysis only
clinc150,0.70,euclidean,42,2,0.822993340343498,0.8197790255388516,0.003214314804646401,test-set oracle for sensitivity analysis only
clinc150,0.70,euclidean,87,1,0.8491316931982635,0.8491316931982635,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,euclidean,100,1,0.8420668249041445,0.8420668249041445,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,euclidean,123,1,0.828326961587475,0.828326961587475,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,mahalanobis_diag,13,1,0.8353230337078653,0.8353230337078653,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,mahalanobis_diag,42,1,0.8186582809224319,0.8186582809224319,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,mahalanobis_diag,87,1,0.8424934152765585,0.8424934152765585,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,mahalanobis_diag,100,1,0.8407032498668087,0.8407032498668087,0.0,test-set oracle for sensitivity analysis only
clinc150,0.70,mahalanobis_diag,123,1,0.8320651212174835,0.8320651212174835,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,euclidean,13,2,0.8166102968808718,0.8122102009273571,0.00440009595351476,test-set oracle for sensitivity analysis only
clinc150,0.75,euclidean,42,2,0.8098617855808741,0.8075954272427824,0.002266358338091634,test-set oracle for sensitivity analysis only
clinc150,0.75,euclidean,87,1,0.8238724727838258,0.8238724727838258,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,euclidean,100,1,0.8267762771579565,0.8267762771579565,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,euclidean,123,1,0.8168740279937793,0.8168740279937793,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,mahalanobis_diag,13,1,0.8084147257700977,0.8084147257700977,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,mahalanobis_diag,42,1,0.8068605518269947,0.8068605518269947,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,mahalanobis_diag,87,1,0.8188828286627798,0.8188828286627798,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,mahalanobis_diag,100,1,0.823685708863162,0.823685708863162,0.0,test-set oracle for sensitivity analysis only
clinc150,0.75,mahalanobis_diag,123,1,0.8158586997369409,0.8158586997369409,0.0,test-set oracle for sensitivity analysis only
