dataset,kir,seed,distance,metric,ce_recon,ce_recon_geometry,geometry_minus_ce_recon
clinc150,0.25,100,mahalanobis_diag,auroc,0.9560228147122192,0.9597258771929824,0.0037030624807632417
clinc150,0.25,100,mahalanobis_diag,aupr_oos,0.9845489485196104,0.9865986764183524,0.0020497278987420264
clinc150,0.25,123,mahalanobis_diag,oos_f1,0.9502606429192006,0.951277609354699,0.0010169664354983121
clinc150,0.25,123,mahalanobis_diag,near_oos_f1,0.7662675689744924,0.7705761316872428,0.0043085627127503745
clinc150,0.25,123,mahalanobis_diag,id_recall,0.7605263157894737,0.7517543859649123,-0.00877192982456143
clinc150,0.25,123,mahalanobis_diag,false_accept_rate,0.0405701754385964,0.0366228070175438,-0.003947368421052602
clinc150,0.25,123,mahalanobis_diag,false_reject_rate,0.2394736842105263,0.2482456140350877,0.008771929824561403
clinc150,0.25,123,mahalanobis_diag,auroc,0.9448172514619884,0.950669052016005,0.005851800554016684
clinc150,0.25,123,mahalanobis_diag,aupr_oos,0.9778116009792358,0.9835752613872976,0.005763660408061755
clinc150,0.25,13,mahalanobis_diag,oos_f1,0.9372596417976048,0.943692710606722,0.006433068809117204
clinc150,0.25,13,mahalanobis_diag,near_oos_f1,0.7348242811501597,0.7472411981082502,0.01241691695809044
clinc150,0.25,13,mahalanobis_diag,id_recall,0.7578947368421053,0.7543859649122807,-0.0035087719298245723
clinc150,0.25,13,mahalanobis_diag,false_accept_rate,0.0646929824561403,0.0517543859649122,-0.012938596491228103
clinc150,0.25,13,mahalanobis_diag,false_reject_rate,0.2421052631578947,0.2456140350877192,0.003508771929824489
clinc150,0.25,13,mahalanobis_diag,auroc,0.920576138811942,0.9269909972299168,0.006414858417974845
clinc150,0.25,13,mahalanobis_diag,aupr_oos,0.9702133595207733,0.9735202257838,0.0033068662630267864
clinc150,0.25,42,mahalanobis_diag,oos_f1,0.9474368700552726,0.9508196721311476,0.0033828020758750466
clinc150,0.25,42,mahalanobis_diag,near_oos_f1,0.7847082494969819,0.784,-0.0007082494969818942
clinc150,0.25,42,mahalanobis_diag,id_recall,0.7403508771929825,0.7333333333333334,-0.007017543859649145
clinc150,0.25,42,mahalanobis_diag,false_accept_rate,0.0414473684210526,0.0333333333333333,-0.008114035087719303
clinc150,0.25,42,mahalanobis_diag,false_reject_rate,0.2596491228070175,0.2666666666666666,0.007017543859649089
clinc150,0.25,42,mahalanobis_diag,auroc,0.9345531317328408,0.9377881655894122,0.003235033856571423
clinc150,0.25,42,mahalanobis_diag,aupr_oos,0.977840771608878,0.9786588231771456,0.0008180515682676415
clinc150,0.25,87,mahalanobis_diag,oos_f1,0.9395072591289044,0.9425664588119462,0.0030591996830418022
clinc150,0.25,87,mahalanobis_diag,near_oos_f1,0.7414163090128756,0.7420382165605095,0.0006219075476339153
clinc150,0.25,87,mahalanobis_diag,id_recall,0.7710526315789474,0.7605263157894737,-0.010526315789473717
clinc150,0.25,87,mahalanobis_diag,false_accept_rate,0.0633771929824561,0.0552631578947368,-0.008114035087719303
clinc150,0.25,87,mahalanobis_diag,false_reject_rate,0.2289473684210526,0.2394736842105263,0.010526315789473717
clinc150,0.25,87,mahalanobis_diag,auroc,0.9389112034472148,0.9437423053247151,0.0048311018775003545
clinc150,0.25,87,mahalanobis_diag,aupr_oos,0.9802400125061864,0.9823972268414364,0.0021572143352499573
clinc150,0.5,100,mahalanobis_diag,oos_f1,0.8969422423556059,0.9009059233449478,0.003963680989341856
clinc150,0.5,100,mahalanobis_diag,near_oos_f1,0.595797280593325,0.5933412604042806,-0.00245602018904445
clinc150,0.5,100,mahalanobis_diag,id_recall,0.8017777777777778,0.7808888888888889,-0.020888888888888957
clinc150,0.5,100,mahalanobis_diag,false_accept_rate,0.0817391304347826,0.0631884057971014,-0.018550724637681204
clinc150,0.5,100,mahalanobis_diag,false_reject_rate,0.1982222222222222,0.2191111111111111,0.0208888888888889
clinc150,0.5,100,mahalanobis_diag,auroc,0.939292624798712,0.9442782608695652,0.004985636070853228
clinc150,0.5,100,mahalanobis_diag,aupr_oos,0.9505607041931288,0.9544114143902196,0.003850710197090823
clinc150,0.5,123,mahalanobis_diag,oos_f1,0.9043068827032268,0.9045253863134658,0.000218503610239007
clinc150,0.5,123,mahalanobis_diag,near_oos_f1,0.6052478134110787,0.6083956296722254,0.0031478162611466853
clinc150,0.5,123,mahalanobis_diag,id_recall,0.7751111111111111,0.768888888888889,-0.006222222222222129
clinc150,0.5,123,mahalanobis_diag,false_accept_rate,0.0536231884057971,0.0498550724637681,-0.003768115942028999
clinc150,0.5,123,mahalanobis_diag,false_reject_rate,0.2248888888888889,0.2311111111111111,0.006222222222222212
clinc150,0.5,123,mahalanobis_diag,auroc,0.9313328180354268,0.934727729468599,0.0033949114331721653
clinc150,0.5,123,mahalanobis_diag,aupr_oos,0.9371280072140232,0.9420616140146624,0.004933606800639145
clinc150,0.5,13,mahalanobis_diag,oos_f1,0.8884186768232473,0.8926221475570488,0.004203470733801562
clinc150,0.5,13,mahalanobis_diag,near_oos_f1,0.5783132530120482,0.5874704491725768,0.00915719616052868
clinc150,0.5,13,mahalanobis_diag,id_recall,0.7822222222222223,0.7755555555555556,-0.00666666666666671
clinc150,0.5,13,mahalanobis_diag,false_accept_rate,0.0872463768115942,0.0759420289855072,-0.011304347826086997
clinc150,0.5,13,mahalanobis_diag,false_reject_rate,0.2177777777777777,0.2244444444444444,0.006666666666666682
clinc150,0.5,13,mahalanobis_diag,auroc,0.9214267310789048,0.9257066666666668,0.004279935587761963
clinc150,0.5,13,mahalanobis_diag,aupr_oos,0.9339116469100666,0.9369978838137766,0.0030862369037100157
clinc150,0.5,42,mahalanobis_diag,oos_f1,0.8880168185003504,0.8916064480266815,0.0035896295263311284
clinc150,0.5,42,mahalanobis_diag,near_oos_f1,0.56223942823109,0.5629022820362786,0.0006628538051886013
clinc150,0.5,42,mahalanobis_diag,id_recall,0.7702222222222223,0.760888888888889,-0.009333333333333305
clinc150,0.5,42,mahalanobis_diag,false_accept_rate,0.0817391304347826,0.0701449275362318,-0.011594202898550801
clinc150,0.5,42,mahalanobis_diag,false_reject_rate,0.2297777777777777,0.2391111111111111,0.009333333333333416
clinc150,0.5,42,mahalanobis_diag,auroc,0.9140580998389694,0.9189579388083736,0.004899838969404269
clinc150,0.5,42,mahalanobis_diag,aupr_oos,0.9124355475188696,0.921909925987308,0.00947437846843846
clinc150,0.5,87,mahalanobis_diag,oos_f1,0.8966496308915389,0.8978267005362687,0.0011770696447297446
clinc150,0.5,87,mahalanobis_diag,near_oos_f1,0.5916197623514696,0.5872917951881554,-0.004327967163314184
clinc150,0.5,87,mahalanobis_diag,id_recall,0.8062222222222222,0.7977777777777778,-0.008444444444444366
clinc150,0.5,87,mahalanobis_diag,false_accept_rate,0.0846376811594202,0.0779710144927536,-0.0066666666666666125
clinc150,0.5,87,mahalanobis_diag,false_reject_rate,0.1937777777777777,0.2022222222222222,0.008444444444444504
clinc150,0.5,87,mahalanobis_diag,auroc,0.9195599355877616,0.9201339774557166,0.0005740418679549553
clinc150,0.5,87,mahalanobis_diag,aupr_oos,0.92326039060192,0.925522310118112,0.0022619195161920347
clinc150,0.75,100,mahalanobis_diag,oos_f1,0.8366346342420082,0.8420038535645472,0.005369219322538976
clinc150,0.75,100,mahalanobis_diag,near_oos_f1,0.4656381486676016,0.4626865671641791,-0.002951581503422507
clinc150,0.75,100,mahalanobis_diag,id_recall,0.8136904761904762,0.8020833333333334,-0.011607142857142816
clinc150,0.75,100,mahalanobis_diag,false_accept_rate,0.0884615384615384,0.0662393162393162,-0.0222222222222222
clinc150,0.75,100,mahalanobis_diag,false_reject_rate,0.1863095238095238,0.1979166666666666,0.011607142857142788
clinc150,0.75,100,mahalanobis_diag,auroc,0.9235688848188848,0.9277228327228328,0.004153947903948074
clinc150,0.75,100,mahalanobis_diag,aupr_oos,0.8626219471562259,0.8614915889477204,-0.0011303582085054886
clinc150,0.75,123,mahalanobis_diag,oos_f1,0.8233679670652814,0.8281972265023112,0.004829259437029831
clinc150,0.75,123,mahalanobis_diag,near_oos_f1,0.4481099656357388,0.4431137724550898,-0.004996193180648978
clinc150,0.75,123,mahalanobis_diag,id_recall,0.8032738095238096,0.7910714285714285,-0.01220238095238102
clinc150,0.75,123,mahalanobis_diag,false_accept_rate,0.1025641025641025,0.0811965811965812,-0.021367521367521305
clinc150,0.75,123,mahalanobis_diag,false_reject_rate,0.1967261904761904,0.2089285714285714,0.01220238095238102
clinc150,0.75,123,mahalanobis_diag,auroc,0.9193378612128612,0.9275172975172976,0.008179436304436405
clinc150,0.75,123,mahalanobis_diag,aupr_oos,0.8680463536713345,0.8756894821004639,0.007643128429129398
clinc150,0.75,13,mahalanobis_diag,oos_f1,0.8278120184899846,0.832471759525177,0.0046597410351924
clinc150,0.75,13,mahalanobis_diag,near_oos_f1,0.4323962516733601,0.440026507620941,0.007630255947580877
clinc150,0.75,13,mahalanobis_diag,id_recall,0.7907738095238095,0.7889880952380952,-0.0017857142857142794
clinc150,0.75,13,mahalanobis_diag,false_accept_rate,0.0816239316239316,0.0709401709401709,-0.010683760683760701
clinc150,0.75,13,mahalanobis_diag,false_reject_rate,0.2092261904761904,0.2110119047619047,0.0017857142857143071
clinc150,0.75,13,mahalanobis_diag,auroc,0.9247340506715508,0.92711423992674,0.0023801892551892356
clinc150,0.75,13,mahalanobis_diag,aupr_oos,0.865934451757306,0.8668908939770024,0.000956442219696374
clinc150,0.75,42,mahalanobis_diag,oos_f1,0.819047619047619,0.8260454458659537,0.006997826818334718
clinc150,0.75,42,mahalanobis_diag,near_oos_f1,0.4027397260273972,0.4225721784776903,0.01983245245029308
clinc150,0.75,42,mahalanobis_diag,id_recall,0.7922619047619047,0.781547619047619,-0.010714285714285676
clinc150,0.75,42,mahalanobis_diag,false_accept_rate,0.0995726495726495,0.0756410256410256,-0.023931623931623902
clinc150,0.75,42,mahalanobis_diag,false_reject_rate,0.2077380952380952,0.2184523809523809,0.010714285714285704
clinc150,0.75,42,mahalanobis_diag,auroc,0.9108984533984534,0.9154490995115996,0.004550646113146151
clinc150,0.75,42,mahalanobis_diag,aupr_oos,0.8301202138441478,0.8374716209967602,0.007351407152612399
clinc150,0.75,87,mahalanobis_diag,oos_f1,0.8325581395348837,0.8355980861244019,0.0030399465895182276
clinc150,0.75,87,mahalanobis_diag,near_oos_f1,0.4789859906604403,0.4775536759921925,-0.0014323146682477805
clinc150,0.75,87,mahalanobis_diag,id_recall,0.8,0.7910714285714285,-0.008928571428571508
clinc150,0.75,87,mahalanobis_diag,false_accept_rate,0.082051282051282,0.067094017094017,-0.014957264957265001
clinc150,0.75,87,mahalanobis_diag,false_reject_rate,0.2,0.2089285714285714,0.008928571428571397
clinc150,0.75,87,mahalanobis_diag,auroc,0.9183329517704516,0.9212182030932032,0.0028852513227516363
clinc150,0.75,87,mahalanobis_diag,aupr_oos,0.8379563065855179,0.8469878141767333,0.009031507591215404
stackoverflow,0.25,100,mahalanobis_diag,oos_f1,0.9616357040782676,0.9581908439051297,-0.0034448601731379425
stackoverflow,0.25,100,mahalanobis_diag,near_oos_f1,0.8386763185108583,0.8330733229329174,-0.005602995577940972
stackoverflow,0.25,100,mahalanobis_diag,id_recall,0.8513333333333333,0.852,0.0006666666666667043
stackoverflow,0.25,100,mahalanobis_diag,false_accept_rate,0.028,0.0348888888888888,0.006888888888888802
stackoverflow,0.25,100,mahalanobis_diag,false_reject_rate,0.1486666666666666,0.148,-0.000666666666666621
stackoverflow,0.25,100,mahalanobis_diag,auroc,0.9475757037037036,0.9449722962962962,-0.0026034074074073876
stackoverflow,0.25,100,mahalanobis_diag,aupr_oos,0.968800337552096,0.9672176329161886,-0.0015827046359074837
stackoverflow,0.25,123,mahalanobis_diag,oos_f1,0.9667904741096788,0.958493889684025,-0.00829658442565373
stackoverflow,0.25,123,mahalanobis_diag,near_oos_f1,0.8526422764227642,0.8253638253638254,-0.02727845105893889
stackoverflow,0.25,123,mahalanobis_diag,id_recall,0.8473333333333333,0.8466666666666667,-0.0006666666666665932
stackoverflow,0.25,123,mahalanobis_diag,false_accept_rate,0.0166666666666666,0.0326666666666666,0.016
stackoverflow,0.25,123,mahalanobis_diag,false_reject_rate,0.1526666666666666,0.1533333333333333,0.0006666666666667043
stackoverflow,0.25,123,mahalanobis_diag,auroc,0.9345688888888888,0.9224370370370368,-0.01213185185185195
