dataset,kir,data_seed,representation,k_name,k_gate,threshold,validation_near_q20_similarity,validation_far_q80_similarity,group_type,group,oos_count,false_accept_count,false_accept_rate,representation_collision_count,representation_collision_rate,boundary_overcoverage_count,boundary_overcoverage_rate,correct_rejection_count,correct_rejection_rate,mean_nearest_known_similarity,mean_gate_score
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,5,313,0,0.0,87,0.2779552715654952,0,0.0,313,1.0,0.6929254467010949,2.411219284532997
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,6,322,0,0.0,74,0.22981366459627328,0,0.0,322,1.0,0.749056043644673,2.216817045549273
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,7,283,0,0.0,123,0.43462897526501765,0,0.0,283,1.0,0.8100270482465015,2.030024549257066
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,8,245,0,0.0,128,0.5224489795918368,0,0.0,245,1.0,0.8729906685112904,1.7567846194961174
clinc150,50,87,ce_recon,k1,1,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,9,232,69,0.2974137931034483,201,0.8663793103448276,0,0.0,163,0.7025862068965517,0.942187664845408,1.1785531580569584
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,0,451,0,0.0,20,0.04434589800443459,0,0.0,451,1.0,0.38176874823949447,2.5085439757077674
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,1,367,0,0.0,12,0.0326975476839237,0,0.0,367,1.0,0.470502160180664,2.4270715541120436
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,2,353,0,0.0,11,0.031161473087818695,0,0.0,353,1.0,0.5262097497529941,2.3666085751144808
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,3,377,0,0.0,31,0.08222811671087533,0,0.0,377,1.0,0.5856179536889595,2.283017931164441
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,4,307,0,0.0,40,0.13029315960912052,0,0.0,307,1.0,0.6400303991403127,2.2050926786874623
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,5,313,0,0.0,87,0.2779552715654952,0,0.0,313,1.0,0.6929254467010949,2.1505791673749552
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,6,322,1,0.003105590062111801,74,0.22981366459627328,0,0.0,321,0.9968944099378882,0.749056043644673,1.9990753650642084
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,7,283,0,0.0,123,0.43462897526501765,0,0.0,283,1.0,0.8100270482465015,1.904057587112864
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,8,245,13,0.053061224489795916,128,0.5224489795918368,11,0.044897959183673466,232,0.9469387755102041,0.8729906685112904,1.728143883290618
clinc150,50,87,ce_recon,k2,2,1.0,0.4987189012863967,0.8417227715162399,similarity_bin,9,232,68,0.29310344827586204,201,0.8663793103448276,5,0.021551724137931036,164,0.7068965517241379,0.942187664845408,1.252275848112131
