dataset,kir,data_seed,representation,k_variant,k_gate,selected_k,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,threshold,checkpoint_epoch,status
banking77_oos,50,42,ce,frozen_selected_k,5,5,0.9155951203428948,0.9016233766233768,0.9085555373793556,0.744,0.9016233766233768,0.9114678571428572,0.9619809910450344,0.415,0.5464788732394367,0.9011715229798738,0.8839085611833258,1.0,5.0,complete
banking77_oos,50,42,supcon,k1,1,5,0.9484126984126984,0.8535714285714285,0.8984962406015038,0.857,0.8535714285714285,0.92832987012987,0.9744934945813912,0.318,0.2534818941504178,0.9327534292405488,0.9411764705882352,1.0,3.0,complete
banking77_oos,50,42,supcon,k2,2,5,0.9266593325999266,0.8204545454545454,0.870328913380403,0.8,0.8204545454545454,0.8993756493506495,0.9631958351597194,0.4,0.5065502183406113,0.8241992882562278,0.9165659008464327,1.0,3.0,complete
banking77_oos,50,42,supcon,frozen_selected_k,5,5,0.9107084019769356,0.8974025974025974,0.9040065412919052,0.729,0.8974025974025974,0.9103941558441558,0.9685494523811772,0.417,0.5887850467289719,0.8634564643799473,0.8923679060665362,1.0,3.0,complete
banking77_oos,50,13,ce,k1,1,4,0.941921858500528,0.8688311688311688,0.90390136801216,0.835,0.8688311688311688,0.9128152597402596,0.9633644485593188,0.392,0.281767955801105,0.9386467889908257,0.9190779794016676,1.0,4.0,complete
banking77_oos,50,13,ce,k2,2,4,0.931444561035327,0.8646103896103896,0.8967839703653814,0.804,0.8646103896103896,0.905347077922078,0.96491340695218,0.444,0.4265060240963855,0.9032634032634032,0.9047849202513292,1.0,4.0,complete
banking77_oos,50,13,ce,frozen_selected_k,4,4,0.923050259965338,0.8646103896103896,0.8928751047778709,0.778,0.8646103896103896,0.9026415584415584,0.962715354158175,0.454,0.448,0.8906976744186047,0.8930276981852913,1.0,4.0,complete
banking77_oos,50,13,supcon,k1,1,4,0.948257655755016,0.8746753246753247,0.909981422057085,0.853,0.8746753246753247,0.9256318181818182,0.9737892425421832,0.363,0.2449612403100775,0.9386327503974564,0.9393814432989692,1.0,5.0,complete
banking77_oos,50,13,supcon,k2,2,4,0.9359301055697123,0.8347402597402598,0.8824437961215034,0.824,0.8347402597402598,0.9058454545454546,0.9672412522749252,0.463,0.4383202099737532,0.854251012145749,0.9278434569914392,1.0,5.0,complete
banking77_oos,50,13,supcon,frozen_selected_k,4,4,0.9210983663538408,0.8603896103896104,0.8897095853617593,0.773,0.8603896103896104,0.9066691558441556,0.9687034595730928,0.504,0.4764150943396226,0.8564890487087283,0.9089456869009584,1.0,5.0,complete
banking77_oos,50,87,ce,k1,1,1,0.9355616815988972,0.8814935064935064,0.9077231695085256,0.813,0.8814935064935064,0.9157389610389612,0.9684509606462436,0.371,0.378316032295271,0.9436936936936936,0.9034589571502324,1.0,5.0,complete
banking77_oos,50,87,ce,k2,2,1,0.9260628465804066,0.8133116883116883,0.8660328435609335,0.8,0.8133116883116883,0.887535064935065,0.956248137783984,0.476,0.463519313304721,0.8565375302663438,0.896870189840944,1.0,5.0,complete
banking77_oos,50,87,ce,frozen_selected_k,1,1,0.9355616815988972,0.8814935064935064,0.9077231695085256,0.813,0.8814935064935064,0.9157389610389612,0.9684509606462436,0.371,0.378316032295271,0.9436936936936936,0.9034589571502324,1.0,5.0,complete
banking77_oos,50,87,supcon,k1,1,1,0.9463587921847249,0.8649350649350649,0.9038167938931296,0.849,0.8649350649350649,0.9252262987012988,0.973217328763186,0.322,0.264,0.943728813559322,0.9395274329195034,1.0,4.0,complete
banking77_oos,50,87,supcon,k2,2,1,0.9338903014892844,0.8347402597402598,0.8815360877764443,0.818,0.8347402597402598,0.9057467532467534,0.9672010960201224,0.452,0.514161220043573,0.8460421205519245,0.9267326732673268,1.0,4.0,complete
banking77_oos,50,87,supcon,frozen_selected_k,1,1,0.9463587921847249,0.8649350649350649,0.9038167938931296,0.849,0.8649350649350649,0.9252262987012988,0.973217328763186,0.322,0.264,0.943728813559322,0.9395274329195034,1.0,4.0,complete
stackoverflow,50,42,ce,k1,1,1,0.847069065583285,0.973973973973974,0.9060996430234364,0.8239224858002004,0.973973973973974,0.9380775139768348,0.9093328595592504,0.1533578349482125,0.6202134337727558,0.8719941705125092,0.7050923335198657,1.0,5.0,complete
stackoverflow,50,42,ce,k2,2,1,0.8797962648556876,0.8645311978645311,0.8720969370582295,0.8817240227196792,0.8645311978645311,0.9336187730218244,0.8938435080219237,0.1506849315068493,0.5959059893858984,0.8436911487758946,0.7806691449814126,1.0,5.0,complete
stackoverflow,50,42,ce,frozen_selected_k,1,1,0.847069065583285,0.973973973973974,0.9060996430234364,0.8239224858002004,0.973973973973974,0.9380775139768348,0.9093328595592504,0.1533578349482125,0.6202134337727558,0.8719941705125092,0.7050923335198657,1.0,5.0,complete
stackoverflow,50,42,supcon,k1,1,1,0.8597006163780452,0.9773106439773106,0.91474078700812,0.84029401937855,0.9773106439773106,0.9464592111880228,0.931349951725411,0.136986301369863,0.6454545454545455,0.8891979601298099,0.6826029216467463,1.0,5.0,complete
stackoverflow,50,42,supcon,k2,2,1,0.9136630343671416,0.7273940607273941,0.8099572728961546,0.931172736384898,0.7273940607273941,0.934921557039833,0.9292226896132127,0.2639492148346141,0.3853403141361256,0.8219633943427621,0.833063209076175,1.0,5.0,complete
stackoverflow,50,42,supcon,frozen_selected_k,1,1,0.8597006163780452,0.9773106439773106,0.91474078700812,0.84029401937855,0.9773106439773106,0.9464592111880228,0.931349951725411,0.136986301369863,0.6454545454545455,0.8891979601298099,0.6826029216467463,1.0,5.0,complete
