dataset,representation,k_name,group,mean_false_accept_rate,mean_representation_collision_rate,mean_boundary_overcoverage_rate,unit_count
stackoverflow,frozen,frozen_selected_k,all,0.2586279382098434,0.5849687943746257,0.0368462415490011,3
stackoverflow,frozen,frozen_selected_k,far,0.04825776890958133,0.2076195690406298,0.03150057273768613,3
stackoverflow,frozen,frozen_selected_k,medium,0.22753240448066858,0.6074591078150966,0.043518499761720265,3
stackoverflow,frozen,frozen_selected_k,near,0.547784288627672,0.8880936475068489,0.022082349855756602,3
stackoverflow,frozen,tuned_selected_k,all,0.22322379659327696,0.5849687943746257,0.024376858338134934,3
stackoverflow,frozen,tuned_selected_k,far,0.0322211136976684,0.2076195690406298,0.017182130584192434,3
stackoverflow,frozen,tuned_selected_k,medium,0.18753984495685905,0.6074591078150966,0.029567606904577434,3
stackoverflow,frozen,tuned_selected_k,near,0.5074617079825107,0.8880936475068489,0.0156307369525308,3
stackoverflow,supcon,1,all,0.05385329582425741,0.6235375744451007,0.0,3
stackoverflow,supcon,1,far,0.0,0.10190659901439329,0.0,3
stackoverflow,supcon,1,medium,0.0016638935108153,0.6759119401005346,0.0,3
stackoverflow,supcon,1,near,0.27288830050752194,0.9831658417079145,0.0,3
stackoverflow,supcon,2,all,0.38732916871488926,0.6235375744451007,0.05385916901731497,3
stackoverflow,supcon,2,far,0.045584435324517364,0.10190659901439329,0.031423215280944404,3
stackoverflow,supcon,2,medium,0.3650192584809337,0.6759119401005346,0.07499106042946684,3
stackoverflow,supcon,2,near,0.8094632617766702,0.9831658417079145,0.011184440777961067,3
stackoverflow,supcon,frozen_selected_k,all,0.1423636498656736,0.6235375744451007,0.02081941661099977,3
stackoverflow,supcon,frozen_selected_k,far,0.0031007751937984335,0.10190659901439329,0.0031007751937984335,3
stackoverflow,supcon,frozen_selected_k,medium,0.0814440716423294,0.6759119401005346,0.03411028993746446,3
stackoverflow,supcon,frozen_selected_k,near,0.48079790502729597,0.9831658417079145,0.0005649717514124,3
stackoverflow,unsupervised_simcse,1,all,0.3039706373039706,0.7791124457791124,0.0063396730063396,1
stackoverflow,unsupervised_simcse,1,far,0.0083333333333333,0.375,0.0016666666666666,1
stackoverflow,unsupervised_simcse,1,medium,0.2420937840785169,0.85659760087241,0.0076335877862595,1
stackoverflow,unsupervised_simcse,1,near,0.8206039076376554,0.9573712255772646,0.0071047957371225,1
stackoverflow,unsupervised_simcse,2,all,0.3570236903570237,0.7791124457791124,0.032032032032032,1
stackoverflow,unsupervised_simcse,2,far,0.1333333333333333,0.375,0.0866666666666666,1
stackoverflow,unsupervised_simcse,2,medium,0.3102508178844056,0.85659760087241,0.0234460196292257,1
stackoverflow,unsupervised_simcse,2,near,0.7477797513321492,0.9573712255772646,0.0017761989342806,1
stackoverflow,unsupervised_simcse,frozen_selected_k,all,0.3039706373039706,0.7791124457791124,0.0063396730063396,1
stackoverflow,unsupervised_simcse,frozen_selected_k,far,0.0083333333333333,0.375,0.0016666666666666,1
stackoverflow,unsupervised_simcse,frozen_selected_k,medium,0.2420937840785169,0.85659760087241,0.0076335877862595,1
stackoverflow,unsupervised_simcse,frozen_selected_k,near,0.8206039076376554,0.9573712255772646,0.0071047957371225,1
