dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,13,val,1,0.5,1.1,nearest_sphere,0.8680142687277052,0.8345158400221582,0.8525806451612903,0.7973333333333333,0.0875,0.20266666666666666,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,1.1,nearest_sphere,0.8858841010401188,0.811352855839264,0.8550909090909091,0.7782222222222223,0.08276923076923078,0.22177777777777777,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,1.2,nearest_sphere,0.8240109140518418,0.848374142694491,0.8190322580645162,0.9173333333333333,0.245,0.08266666666666667,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,1.2,nearest_sphere,0.8456263589228968,0.8202983568175494,0.816,0.9106666666666666,0.22215384615384615,0.08933333333333333,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.85,normalized_union,0.7353824820892073,0.3586381728175969,0.63,0.24266666666666667,0.005625,0.7573333333333333,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,0.85,normalized_union,0.7908791610779173,0.36815840114504655,0.688,0.2408888888888889,0.0021538461538461538,0.7591111111111111,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,0.9,normalized_union,0.7685589519650655,0.5155800154515464,0.6916129032258065,0.37466666666666665,0.01,0.6253333333333333,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,0.9,normalized_union,0.8144693723216536,0.49917267749910715,0.7316363636363636,0.3542222222222222,0.005846153846153846,0.6457777777777778,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,0.95,normalized_union,0.8020408163265306,0.6365677698384764,0.7483870967741936,0.5013333333333333,0.0175,0.49866666666666665,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,0.95,normalized_union,0.839047369798482,0.6151655436741265,0.7749090909090909,0.4728888888888889,0.01353846153846154,0.5271111111111111,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,1.0,normalized_union,0.8300374131480491,0.7243465876459838,0.7929032258064516,0.6073333333333333,0.029375,0.39266666666666666,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,1.0,normalized_union,0.8635743519781719,0.7112427815300505,0.8156363636363636,0.5933333333333334,0.026153846153846153,0.4066666666666667,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,1.05,normalized_union,0.853830930166808,0.7943956814803566,0.8309677419354838,0.7153333333333334,0.05625,0.2846666666666667,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,1.05,normalized_union,0.8792051100070972,0.7722813838057473,0.842,0.6897777777777778,0.04707692307692308,0.31022222222222223,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,1.1,normalized_union,0.8673408685306365,0.8344778426925187,0.8522580645161291,0.7973333333333333,0.08875,0.20266666666666666,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,1.1,normalized_union,0.8858501783590963,0.8130823756625296,0.8556363636363636,0.7786666666666666,0.08307692307692308,0.22133333333333333,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.5,1.2,normalized_union,0.8231269243927472,0.8511345152143602,0.8209677419354838,0.92,0.248125,0.08,0.9257708333333332,0.9187342999832357
clinc150,13,test,1,0.5,1.2,normalized_union,0.8450326687887418,0.8231442922351648,0.8174545454545454,0.9124444444444444,0.224,0.08755555555555555,0.9318629743589745,0.9467731414913219
clinc150,13,val,1,0.75,0.85,nearest_sphere,0.7583412774070544,0.46192134781311306,0.672258064516129,0.33,0.005625,0.67,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,0.85,nearest_sphere,0.8056765840906261,0.45026291521124034,0.7154545454545455,0.31244444444444447,0.0043076923076923075,0.6875555555555556,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,0.9,nearest_sphere,0.7926706827309237,0.6001192571132254,0.7322580645161291,0.4633333333333333,0.013125,0.5366666666666666,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,0.9,nearest_sphere,0.8312693498452013,0.5791960509994452,0.7612727272727273,0.4311111111111111,0.008615384615384615,0.5688888888888889,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,0.95,nearest_sphere,0.8202571503542377,0.6923359622894353,0.7774193548387097,0.568,0.023125,0.432,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,0.95,nearest_sphere,0.8574888978603149,0.6856247501414703,0.8058181818181818,0.5577777777777778,0.019692307692307693,0.44222222222222224,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,1.0,nearest_sphere,0.8494983277591973,0.7808344715394242,0.8235483870967742,0.6906666666666667,0.0475,0.30933333333333335,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,1.0,nearest_sphere,0.8765432098765432,0.7600580422998408,0.8372727272727273,0.6648888888888889,0.03876923076923077,0.33511111111111114,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,1.05,nearest_sphere,0.8663540445486518,0.8263540363852623,0.8490322580645161,0.7773333333333333,0.07625,0.22266666666666668,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,1.05,nearest_sphere,0.8878805620608899,0.8068061984244115,0.8567272727272728,0.756,0.06676923076923078,0.244,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,1.1,nearest_sphere,0.8756218905472637,0.8608988805172568,0.864516129032258,0.8613333333333333,0.12,0.13866666666666666,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,1.1,nearest_sphere,0.8829245719574271,0.8264586966950277,0.8550909090909091,0.8351111111111111,0.11938461538461538,0.1648888888888889,0.9324392478632479,0.9456575512652061
clinc150,13,val,1,0.75,1.2,nearest_sphere,0.7738181818181818,0.8390561634246809,0.7819354838709678,0.9426666666666667,0.335,0.05733333333333333,0.9283129166666666,0.91920959531976
clinc150,13,test,1,0.75,1.2,nearest_sphere,0.808854532677442,0.8104321940619406,0.7832727272727272,0.9377777777777778,0.2916923076923077,0.06222222222222222,0.9324392478632479,0.9456575512652061
