dataset,kir,method,metric,n_seeds,mean_trainable_minus_baseline,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.75,knn,auroc,5,0.01883563974591651,0.005961774047186852,0.031709505444646166,4,0,1,20260725,10000
banking77,0.75,knn,aupr_oos,5,0.05178336332274518,0.018106659535492,0.08354568688001322,5,0,0,20260725,10000
banking77,0.75,lof,oos_f1,5,0.3151692494716359,0.29638692210905876,0.34020220481143615,5,0,0,20260725,10000
banking77,0.75,lof,f1_all,5,0.017199479855926604,0.009331120775176593,0.024541479664253706,5,0,0,20260725,10000
banking77,0.75,lof,known_recall,5,-0.13862068965517238,-0.14344827586206896,-0.13327586206896544,0,0,5,20260725,10000
banking77,0.75,lof,false_accept_rate,5,-0.5494736842105263,-0.580263157894737,-0.5192105263157896,0,0,5,20260725,10000
banking77,0.75,lof,auroc,5,0.05125419691470057,0.03599612777903821,0.064225612522686,5,0,0,20260725,10000
banking77,0.75,lof,aupr_oos,5,0.10541257500636012,0.07599041083048186,0.1289817282058642,5,0,0,20260725,10000
banking77,0.75,msp,oos_f1,5,0.09001136407480162,0.07910002251641471,0.10094683341774202,5,0,0,20260725,10000
banking77,0.75,msp,f1_all,5,-0.011709896685877874,-0.015746546861789,-0.007673246509966747,0,0,5,20260725,10000
banking77,0.75,msp,known_recall,5,-0.10698275862068962,-0.11077586206896553,-0.10224137931034476,0,0,5,20260725,10000
banking77,0.75,msp,false_accept_rate,5,-0.28894736842105273,-0.30684210526315797,-0.278421052631579,0,0,5,20260725,10000
banking77,0.75,msp,auroc,5,0.013599251361161514,-0.0010804219600725861,0.02717388838475503,4,0,1,20260725,10000
banking77,0.75,msp,aupr_oos,5,0.016315425035421292,0.0013276739768981027,0.031303176093944486,3,0,2,20260725,10000
clinc150,0.25,energy,oos_f1,5,0.056635702357185534,0.04353878095209303,0.07043911924554527,5,0,0,20260725,10000
clinc150,0.25,energy,f1_all,5,0.04813892673584512,0.025262589927933864,0.07101526354375638,5,0,0,20260725,10000
clinc150,0.25,energy,known_recall,5,-0.2228070175438596,-0.22947368421052633,-0.2182456140350877,0,0,5,20260725,10000
clinc150,0.25,energy,false_accept_rate,5,-0.14894736842105266,-0.17149122807017547,-0.12758771929824567,0,0,5,20260725,10000
clinc150,0.25,energy,auroc,5,-0.005841605109264303,-0.01151500461680508,-0.0009674899969219552,1,0,4,20260725,10000
clinc150,0.25,energy,aupr_oos,5,-0.0024610423208326847,-0.005323300773839379,-0.0006556363708381197,0,0,5,20260725,10000
clinc150,0.25,knn,oos_f1,5,0.17645232645311776,0.16001783008499768,0.19301208833426062,5,0,0,20260725,10000
clinc150,0.25,knn,f1_all,5,0.2005036595560063,0.17477231361363826,0.22753389120643525,5,0,0,20260725,10000
clinc150,0.25,knn,known_recall,5,-0.22526315789473683,-0.2329824561403509,-0.21666666666666662,0,0,5,20260725,10000
clinc150,0.25,knn,false_accept_rate,5,-0.32837719298245616,-0.3545175438596492,-0.30381578947368426,0,0,5,20260725,10000
clinc150,0.25,knn,auroc,5,0.02582760080024631,0.01978174053554944,0.03436422745460157,5,0,0,20260725,10000
clinc150,0.25,knn,aupr_oos,5,0.006672010433690234,0.00389691182237053,0.009595080906949115,5,0,0,20260725,10000
clinc150,0.25,lof,oos_f1,5,0.27392525970678355,0.19255314690692374,0.3552973725066434,5,0,0,20260725,10000
clinc150,0.25,lof,f1_all,5,0.238317365053819,0.1919943550343935,0.2846403750732446,5,0,0,20260725,10000
clinc150,0.25,lof,known_recall,5,-0.22543859649122805,-0.23439912280701755,-0.2121052631578947,0,0,5,20260725,10000
clinc150,0.25,lof,false_accept_rate,5,-0.44179824561403513,-0.5350877192982456,-0.3485087719298246,0,0,5,20260725,10000
clinc150,0.25,lof,auroc,5,0.040368094028932086,0.03572399199753782,0.04620956448137903,5,0,0,20260725,10000
clinc150,0.25,lof,aupr_oos,5,0.01492865305201876,0.01209621262834153,0.01767852084418784,5,0,0,20260725,10000
clinc150,0.25,msp,oos_f1,5,0.04793788802936856,0.038179149356390975,0.06049002574284508,5,0,0,20260725,10000
clinc150,0.25,msp,f1_all,5,0.03176691742420477,0.012479548050617595,0.05125319869086344,5,0,0,20260725,10000
clinc150,0.25,msp,known_recall,5,-0.21929824561403505,-0.22403508771929825,-0.21543859649122798,0,0,5,20260725,10000
clinc150,0.25,msp,false_accept_rate,5,-0.13390350877192986,-0.1536842105263158,-0.11750000000000005,0,0,5,20260725,10000
clinc150,0.25,msp,auroc,5,-0.007403893505693993,-0.014262003693443904,-0.002372576177285346,1,0,4,20260725,10000
clinc150,0.25,msp,aupr_oos,5,-0.0027968036556574203,-0.006085635186802918,-0.0008338918227346337,0,0,5,20260725,10000
clinc150,0.5,energy,oos_f1,5,0.06147903581416978,0.048976313757852094,0.07398175787048747,5,0,0,20260725,10000
clinc150,0.5,energy,f1_all,5,0.00026683003463048307,-0.010568984739421361,0.009761505725467213,3,0,2,20260725,10000
clinc150,0.5,energy,known_recall,5,-0.21324444444444443,-0.21671111111111113,-0.2096888888888889,0,0,5,20260725,10000
