dataset,kir,seed,representation,n_centers_or_unique_radii,radius_mean,radius_std,radius_cv,radius_min,radius_max,assigned_radius_mean,assigned_radius_std,assigned_radius_cv
stackoverflow,0.25,87,trainable,5,23.710337223805908,0.15769704506096333,0.006650982800136248,23.460367128784064,23.84816531423408,23.67763251878408,0.17578857873608444,0.007424246431590101
stackoverflow,0.25,87,frozen,5,20.374387704038618,0.4244647056002316,0.02083324965471694,20.188033670903287,21.779194683784812,20.374387704038618,0.4244647056002316,0.02083324965471694
stackoverflow,0.25,100,trainable,5,24.535395260135395,0.6065796487266766,0.024722636105733935,23.612529423204997,25.510803655086974,24.234823371364048,0.5123728542289566,0.021142009016429566
stackoverflow,0.25,100,frozen,5,20.5056220002268,0.4801586259839671,0.023415950317364494,20.275314584324917,21.779194683784812,20.5056220002268,0.4801586259839671,0.023415950317364494
stackoverflow,0.25,123,trainable,5,24.3296590932772,0.6882451310985769,0.02828831791106985,23.14837278836694,25.08809190101655,23.668258518940448,0.7575665215846984,0.03200770014314565
stackoverflow,0.25,123,frozen,5,20.4526650722394,0.6230439053521875,0.030462724693900694,20.188033670903287,22.366547809656208,20.4526650722394,0.6230439053521875,0.030462724693900694
stackoverflow,0.5,13,trainable,10,23.806007400963384,0.6496958579614164,0.027291256657137913,22.867404638381153,24.667940743227867,23.41092984185069,0.6330441884710408,0.027040540155708618
stackoverflow,0.5,13,frozen,10,20.575284651152636,0.763341499618946,0.03709992413525046,20.02411955583332,22.366547809656208,20.575284651152636,0.763341499618946,0.03709992413525046
stackoverflow,0.5,42,trainable,10,23.48990273995311,0.40644807344393463,0.017303097332651875,22.82337653791164,24.296601650371176,23.24131123733507,0.4005383571666832,0.017233896705589245
stackoverflow,0.5,42,frozen,10,20.514440185097268,0.7086045788778997,0.03454174583777656,20.02411955583332,22.366547809656208,20.514440185097268,0.7086045788778997,0.03454174583777656
stackoverflow,0.5,87,trainable,10,23.84726963168264,0.5542593776134738,0.02324204767144933,22.944397158977544,24.628936920002158,23.4702498130354,0.5967496466521491,0.025425790155872725
stackoverflow,0.5,87,frozen,10,20.709728629148845,0.676726658328682,0.032676751610168,20.188033670903287,22.366547809656208,20.709728629148845,0.676726658328682,0.032676751610168
stackoverflow,0.5,100,trainable,10,22.29795104494766,0.5829029345988808,0.026141546971014486,21.5230065952578,23.157603725894138,22.041443825809857,0.4905705808478707,0.022256735299410267
stackoverflow,0.5,100,frozen,10,20.59541055937223,0.7284069490442607,0.03536744008789808,20.08572939206268,22.27017429206409,20.59541055937223,0.7284069490442607,0.03536744008789808
stackoverflow,0.5,123,trainable,10,23.99323304108079,0.4760092282564527,0.019839311669312684,23.320645053298378,24.541552277920545,23.741981967236217,0.4744022270614179,0.019981576420877157
stackoverflow,0.5,123,frozen,10,20.50959238774087,0.7398185670203404,0.036071831806006524,20.02411955583332,22.366547809656208,20.50959238774087,0.7398185670203404,0.036071831806006524
stackoverflow,0.75,13,trainable,15,23.918646742305796,0.5732023524073881,0.023964664831708223,22.84740296385674,24.71270680715861,23.742806508055025,0.6156392466971256,0.025929506121707337
stackoverflow,0.75,13,frozen,15,20.71820749774979,0.7717373446099324,0.03724923329847676,20.02411955583332,22.366547809656208,20.71820749774979,0.7717373446099324,0.03724923329847676
stackoverflow,0.75,42,trainable,15,23.01941726284241,0.43672547305423454,0.018972047296748475,22.46875357522646,23.774336791258925,22.87283843597819,0.4258322046491928,0.018617374745207547
stackoverflow,0.75,42,frozen,15,20.652005027222767,0.7243381556723694,0.03507350277697355,20.02411955583332,22.366547809656208,20.652005027222767,0.7243381556723694,0.03507350277697355
stackoverflow,0.75,87,trainable,15,22.293199242876344,0.5090764775690457,0.02283550566353629,21.660615431740563,23.334390619173078,22.118903941781454,0.4954927095765598,0.022401322908256766
stackoverflow,0.75,87,frozen,15,20.83672100030606,0.7324231346288247,0.035150594693765226,20.08572939206268,22.366547809656208,20.83672100030606,0.7324231346288247,0.035150594693765226
stackoverflow,0.75,100,trainable,15,24.101536159192325,0.713045293078113,0.02958505583911329,22.765220938351835,25.16879315476932,23.78946110853681,0.7675488816222591,0.032264239955684636
stackoverflow,0.75,100,frozen,15,20.803797597089137,0.7036518573361262,0.03382324087956812,20.08572939206268,22.27017429206409,20.803797597089137,0.7036518573361262,0.03382324087956812
stackoverflow,0.75,123,trainable,15,24.193689494075844,0.583571853385257,0.024120829257073526,23.11831186004814,24.951913073956202,23.94360706739996,0.6555361404504112,0.02737833688153637
stackoverflow,0.75,123,frozen,15,20.69151333895996,0.7733655850652634,0.037375979823046426,20.02411955583332,22.366547809656208,20.69151333895996,0.7733655850652634,0.037375979823046426
