dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
clinc150,0.5,fixed_k2,Frozen K=2,ingredients_list,30.0,0.2111111111111111,0.0047342995169082,5,0.12107729468598691,0.03910146430993996
clinc150,0.5,fixed_k2,Frozen K=2,balance,30.0,0.2333333333333333,0.0046376811594202,6,0.12107729468598691,0.03830347524238953
clinc150,0.5,fixed_k2,Frozen K=2,todo_list,30.0,0.1,0.0046376811594202,7,0.12107729468598691,0.03830347524238953
clinc150,0.5,fixed_k2,Frozen K=2,damaged_card,30.0,0.35,0.0039855072463768,8,0.12107729468598691,0.03291704903642904
clinc150,0.5,fixed_k2,Frozen K=2,order,30.0,0.4,0.0039130434782608,9,0.12107729468598691,0.03231855723576621
clinc150,0.5,fixed_k2,Frozen K=2,yes,30.0,0.35,0.0037681159420289,10,0.12107729468598691,0.031121573634441384
clinc150,0.5,mogb_minilm,MOGB-MiniLM,change_ai_name,30.0,0.9083333333333332,0.0027536231884057,1,0.014879227053139096,0.18506493506494098
clinc150,0.5,mogb_minilm,MOGB-MiniLM,todo_list_update,30.0,0.6833333333333333,0.0019565217391304,2,0.014879227053139096,0.131493506493513
clinc150,0.5,mogb_minilm,MOGB-MiniLM,reminder_update,30.0,0.9444444444444444,0.0014492753623188,3,0.014879227053139096,0.09740259740260124
clinc150,0.5,mogb_minilm,MOGB-MiniLM,todo_list,30.0,0.6,0.001159420289855,4,0.014879227053139096,0.0779220779220783
clinc150,0.5,mogb_minilm,MOGB-MiniLM,timezone,30.0,0.5777777777777778,0.001159420289855,5,0.014879227053139096,0.0779220779220783
clinc150,0.5,mogb_minilm,MOGB-MiniLM,play_music,30.0,0.8833333333333333,0.0008695652173913,6,0.014879227053139096,0.05844155844156208
clinc150,0.5,mogb_minilm,MOGB-MiniLM,damaged_card,30.0,0.625,0.0008695652173913,7,0.014879227053139096,0.05844155844156208
clinc150,0.5,mogb_minilm,MOGB-MiniLM,schedule_meeting,30.0,0.5583333333333333,0.0007246376811594,8,0.014879227053139096,0.04870129870130062
clinc150,0.5,mogb_minilm,MOGB-MiniLM,time,30.0,0.7666666666666667,0.0005797101449275,9,0.014879227053139096,0.03896103896103915
clinc150,0.5,mogb_minilm,MOGB-MiniLM,insurance_change,30.0,0.4333333333333333,0.0005797101449275,10,0.014879227053139096,0.03896103896103915
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,change_ai_name,30.0,0.7833333333333333,0.006159420289855,1,0.043323671497582,0.14217216770741078
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,todo_list_update,30.0,0.4333333333333333,0.0043478260869565,2,0.043323671497582,0.10035682426405534
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,todo_list,30.0,0.3666666666666666,0.0026086956521739,3,0.043323671497582,0.060214094558433205
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,play_music,30.0,0.8,0.002463768115942,4,0.043323671497582,0.056868867082964306
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,damaged_card,30.0,0.4416666666666666,0.002391304347826,5,0.043323671497582,0.055196253345228714
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,yes,30.0,0.6666666666666666,0.0021739130434782,6,0.043323671497582,0.05017841213202652
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,schedule_meeting,30.0,0.2583333333333333,0.0019565217391304,7,0.043323671497582,0.045160570918824326
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,reminder_update,30.0,0.7999999999999999,0.0018357487922705,8,0.043323671497582,0.042372881355933964
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,shopping_list_update,30.0,0.775,0.0015217391304347,9,0.043323671497582,0.03512488849241764
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + ours,time,30.0,0.4666666666666667,0.0014492753623188,10,0.043323671497582,0.03345227475468435
clinc150,0.5,ours_partition_mogb_boundary,Ours partition + MOGB,change_ai_name,30.0,0.625,0.0065217391304347,1,0.028888888888887222,0.22575250836121416
