dataset,kir,method_label,layer,status,directly_comparable,source,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,auroc_mean,aupr_oos_mean
stackoverflow,0.5,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8767066651336372,0.8655077750537566,0.8643878860457684,0.8389333333333333,0.0933999999999999,0.1610666666666666,0.8681333333333333,0.9235181333333332,0.8935448620562013
stackoverflow,0.75,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.436346976786457,0.7446586353568032,0.7652127459281596,0.8802222222222221,0.6166666666666667,0.1197777777777777,0.6810333333333334,0.7757786962962963,0.4698138180586214
stackoverflow,0.75,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.4558840331344417,0.3309323231180784,0.3226022091169876,0.2117333333333332,0.0066666666666666,0.7882666666666667,0.4055333333333333,0.8032848592592593,0.4815859856491138
stackoverflow,0.75,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.5156718868278516,0.4958398225235195,0.4945176849032306,0.3906666666666666,0.0179999999999999,0.6093333333333334,0.5346666666666666,0.7922923259259259,0.464134337111301
stackoverflow,0.75,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.4847941610402536,0.6121983148732834,0.6206919251288187,0.5349777777777778,0.2337333333333333,0.4650222222222222,0.5649666666666666,0.6866778074074074,0.3700422816432617
stackoverflow,0.75,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.6500992335498492,0.8107916989356445,0.8215045299613642,0.8819555555555556,0.3455999999999999,0.1180444444444444,0.77,0.8821197037037036,0.6627071580285776
stackoverflow,0.75,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.6560530143222347,0.8123797132114893,0.8228014931374397,0.8762222222222222,0.3282666666666666,0.1237777777777777,0.7722333333333333,0.8816990518518519,0.661207195888842
stackoverflow,0.75,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7630378449085173,0.87280021593395,0.8801177073356452,0.8411555555555555,0.0879999999999999,0.1588444444444444,0.8443999999999999,0.9290362370370372,0.7729399457737551
banking77,0.25,ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,85.05,,70.92,,,,79.33,,
banking77,0.25,DA-ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,86.57,,73.05,,,,81.19,,
banking77,0.25,DOC,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,76.64,,65.16,,,,70.31,,
banking77,0.25,DeepUnk,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,76.98,,64.97,,,,70.68,,
banking77,0.25,KNNCL,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,79.34,,65.54,,,,73.01,,
banking77,0.25,MSP,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,39.42,,50.47,,,,42.19,,
banking77,0.25,OpenMax,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,48.52,,53.42,,,,47.76,,
banking77,0.25,Ours,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,93.99,,75.83,,,,89.07,,
banking77,0.5,ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,79.43,,81.39,,,,79.61,,
banking77,0.5,DA-ADB,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,79.93,,82.54,,,,81.51,,
banking77,0.5,DOC,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,72.66,,78.38,,,,74.6,,
banking77,0.5,DeepUnk,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,67.8,,75.61,,,,71.01,,
banking77,0.5,KNNCL,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,67.21,,75.16,,,,70.41,,
banking77,0.5,MSP,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,46.29,,73.2,,,,61.67,,
banking77,0.5,OpenMax,historical_fulltex_cascade,historical_contract,False,results/analysis/historical_sota_comparison_v1/fulltex_main_results.csv,,55.03,,75.16,,,,65.53,,
